RA,DEC
153.67546,-28.87206
54.87851,-18.68817
330.66592,-20.81282
94.76109,3.16428
194.50517,1.57558
124.69003,-25.49952
187.06429,28.6203
38.55573,29.31127
180.79036,44.53126
50.68454,-37.10379
49.92116,-19.41136
138.46037,-69.645
185.42699,14.59776
113.71317,-69.28413
182.40031,42.53419
204.51266,-17.88403
209.46098,-43.9313
189.35431,74.19189
85.5199,69.37838
186.90549,-39.33781
215.26534,3.27099
113.48438,-50.44302
189.99742,61.60919
38.39312,-39.04506
184.93866,12.79833
190.98599,13.12635
149.60246,-26.9266
61.01133,-54.10006
49.96339,-26.06059
156.82657,28.5074
173.14558,53.06783
183.21712,1.29968
172.43512,-36.3913
32.08808,10.99492
157.79832,-46.25127
8.3005,48.50874
105.66829,-28.69725
188.99037,27.95976
188.02586,11.17643
49.56686,-66.49826
169.60532,58.78622
326.06717,-75.11132
199.72836,-21.0391
189.11247,11.43929
194.86308,14.17105
218.19521,49.45784
181.50484,47.47836
41.49969,-7.57864
177.15913,48.71082
300.86264,-55.94717
64.39906,-62.78367
145.6468,58.85121
185.08968,5.3864
332.11414,48.44078
161.79169,72.83967
225.23209,-7.45736
172.53107,9.27663
139.04623,-16.31273
194.20375,-8.52529
140.85019,-63.81256
14.45378,30.35236
199.74973,-47.90866
308.58569,-31.98089
175.24477,11.47112
154.97913,45.54969
305.20682,-48.23908
111.76688,80.17807
173.33823,47.02909
169.65051,57.99997
140.36455,-11.90949
339.35223,23.79833
332.14288,-57.44259
23.21629,-7.03156
154.60374,21.89397
162.81761,27.975
88.04749,-7.4562
330.53522,-31.98982
328.177,-48.2539
124.7431,57.80309
192.51636,-41.38203
13.17652,-31.20583
181.53584,49.58231
178.20605,44.12073
187.26254,13.18385
45.89479,46.38635
350.06049,8.20626
190.92764,16.39338
284.12366,-54.30577
86.75787,-34.2506
66.9088,-55.02779
141.07729,34.51338
147.53401,-73.9222
184.37358,37.80711
229.5565,-24.09793
119.56254,-49.85141
29.92765,-5.96419
49.18761,80.79332
142.11032,-60.80177
350.17722,8.217
95.23224,-8.49562
288.81738,-54.13249
156.96364,-43.90382
67.91609,-5.08612
209.47607,-29.31573
54.19257,-35.99924
296.31311,-54.34414
187.3667,8.75016
91.42652,-86.63202
95.46039,0.36621
179.71759,42.72241
74.23473,-4.86575
150.17017,-31.66449
186.44508,12.66207
192.53069,72.87448
184.11385,-43.32426
63.65226,-56.06081
189.91455,-5.34421
169.24567,18.1486
229.65219,-24.06859
11.78564,-20.7604
214.60713,36.49362
56.61356,-3.96879
150.05891,-19.63644
149.78607,-34.22523
70.36762,-2.85804
207.27213,-30.29586
53.0126,-20.81916
190.88559,11.58247
224.85045,-16.62399
157.61037,-35.3595
131.77258,-33.76406
181.01595,31.89579
198.21608,-43.09623
58.00346,-83.83068
330.17181,17.73807
198.55682,-42.96127
215.30455,-46.2979
176.76906,-16.8546
184.04887,47.88337
213.31209,-3.20756
295.91959,56.10946
194.53265,-46.26424
93.04019,-21.80595
234.66582,59.35588
209.05002,5.01446
333.34042,-46.01761
237.45645,-29.38683
186.71091,9.58418
193.64874,-12.56861
54.68694,-44.10061
191.13326,11.19052
57.56205,70.0947
190.30534,10.15575
281.82559,-63.33116
40.81271,32.42497
220.5997,-17.25317
157.50273,-35.32546
185.86642,46.99382
190.69762,11.44247
170.01582,18.35681
248.80881,-58.08003
219.79607,5.36355
243.94202,-60.91871
53.81914,-35.22625
56.26214,-18.26604
193.21164,-42.65993
203.1692,-77.84463
171.2603,-9.79538
281.27634,-62.29723
199.42786,-32.1017
228.44048,-14.26982
55.58097,-35.39263
211.66864,-55.3573
193.47064,-39.71432
182.37411,43.68529
183.89279,-35.62975
139.08228,-23.63324
274.94339,74.56837
165.84903,-23.08679
243.76605,-60.90725
142.90256,-16.73476
199.88187,-12.65701
101.94249,74.48183
319.13492,-48.36355
139.65295,-38.01009
229.18007,55.40926
183.91322,36.32689
176.52693,-56.39111
186.48178,18.21393
281.82846,45.55064
