CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
2000bh,50,0.02412,0.00087,0.02421,0.00015,0.02304,0.00015,15.6252,0.222434,34.8782,0.224067,-9.0,0,1,-0.004958,0.02787,-0.112692,0.071024,15.6912,0.0440967,0.00949566,0.000385662,-0.000510193,-1.21512e-06,-8.21002e-06,185.313,-21.9988,-999,-999,-9.0,25.4885,250,0.0435667,9.5093,-9.0,51636.8,0.2811,23,25.5384,0.32314,0.0647,0.0793,0.0123,0.002,1.0,0.012
2007F,51,0.02417,0.00085,0.0242,1e-05,0.02362,1e-05,15.6891,0.206529,34.9421,0.208286,-9.0,0,1,-0.012123,0.0263,0.40579,0.10875,15.6559,0.0310608,0.00980905,0.000280618,0.000178283,-4.90435e-06,-6.44866e-06,195.813,50.6188,-999,-999,-9.0,9.672,250,0.01493,9.63941,0.003,54123.9,0.0778,41,25.9674,0.96752,0.0585,0.0773,0.0118,0.002,1.0,0.011
2007F,64,0.02417,0.00085,0.0242,1e-05,0.02362,1e-05,15.831,0.181558,35.084,0.183555,-9.0,0,1,-0.068213,0.02585,0.53061,0.040745,15.6167,0.0298228,0.01017,0.000279349,-0.00017642,5.84475e-07,-6.26807e-06,195.813,50.6188,-999,-999,-9.0,9.672,250,0.01493,9.63941,0.473,54124.0,0.0443,65,52.6201,0.86522,0.0576,0.0773,0.0225,0.002,1.0,0.006
2006ac,57,0.02432,0.00085,0.02395,1e-05,0.02309,1e-05,15.7341,0.182157,34.9871,0.184147,-9.0,0,1,-0.04336,0.028723,-0.782527,0.12179,15.7497,0.038536,0.00899711,0.000319334,-0.000438417,2.99192e-06,-7.78831e-06,190.437,35.0686,-999,-999,-9.0,-107.473,250,0.0135209,11.1921,-9.0,53782.0,0.3131,14,14.477,0.41481,0.0646,0.0768,-0.0181,0.001,1.0,0.004
2006ac,64,0.02432,0.00085,0.02395,1e-05,0.02309,1e-05,15.7,0.196215,34.953,0.198064,-9.0,0,1,0.010966,0.026327,-0.998087,0.066287,15.8825,0.0306084,0.00796154,0.000224447,-9.24927e-05,-8.59317e-07,-5.32295e-06,190.437,35.0686,-999,-999,-9.0,-107.473,250,0.0135209,11.1921,0.098,53781.8,0.0853,49,78.4643,0.00475478,0.0574,0.0768,-0.051,0.001,1.0,0.007
ASASSN-15sf,150,0.02432,0.00131,0.02349,0.001,0.02468,0.001,15.9787,0.23365,35.2317,0.235205,-9.0,0,1,-0.069691,0.032833,0.87267,0.13555,15.7165,0.0413885,0.00927729,0.000353653,6.67276e-05,-1.17304e-05,-9.61968e-06,2.865,-6.4273,-999,-999,-9.0,-241.913,250,0.0263781,8.21725,0.034,57333.3,0.1668,10,36.4549,7.02915e-05,0.0762,0.1184,0.0296,0.001,1.0,0.006
2005bg,5,0.02434,0.00085,0.02414,1e-05,0.02303,1e-05,15.7572,0.200135,35.0102,0.201948,-9.0,0,1,-0.060615,0.021939,0.38747,0.057364,15.5864,0.0279705,0.0104579,0.000269413,-0.000267834,3.66517e-06,-4.62217e-06,184.322,16.3716,-999,-999,-9.0,-59.0594,250,0.0276121,9.73321,0.01,53470.4,0.1179,60,206.142,6.4944100000000004e-18,0.0512,0.0767,0.0214,0.002,1.0,0.006
2009D,5,0.02453,0.00086,0.02476,0.00012,0.0251,0.00012,15.755,0.159749,35.008,0.162015,-9.0,0,1,-0.096976,0.021905,0.6502,0.02688,15.4324,0.0356025,0.0120514,0.00039518,-0.00017537,1.93566e-06,-6.03316e-06,58.5951,-19.1817,-999,-999,-9.0,65.3409,250,0.0455357,10.1971,0.13,54841.9,0.0386,80,110.289,0.0140223,0.0512,0.0771,0.0208,0.001,1.0,0.003
2009D,51,0.02453,0.00086,0.02476,0.00012,0.0251,0.00012,15.8216,0.208209,35.0746,0.209952,-9.0,0,1,-0.087507,0.041305,1.04468,0.41085,15.4615,0.0742255,0.011733,0.000802119,-0.00935423,0.000218514,-3.664e-05,58.5951,-19.1817,-999,-999,-9.0,65.3409,250,0.0455357,10.1971,-9.0,54840.5,1.6089,4,1.66173,0.79766,0.106,0.0771,0.0122,0.001,1.0,0.003
2009D,65,0.02453,0.00086,0.02476,0.00012,0.0251,0.00012,15.6963,0.168725,34.9493,0.170871,-9.0,0,1,-0.070908,0.03005,0.42486,0.11797,15.4615,0.0466725,0.0117329,0.00050436,-0.000150683,3.17609e-06,-1.23396e-05,58.5951,-19.1817,-999,-999,-9.0,65.3409,250,0.0455357,10.1971,3.965,54841.9,0.3124,43,35.7476,0.77574,0.0641,0.0771,-0.0053,0.001,1.0,0.003
