CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
2005na,5,0.02748,0.00086,0.02717,8e-05,0.02665,8e-05,15.86,0.170601,35.113,0.172724,-9.0,0,1,-0.130216,0.024077,-0.435652,0.030748,15.6486,0.0474874,0.00987564,0.000431936,-0.00015282,1.60331e-06,-7.27449e-06,105.403,14.1333,-999,-999,-9.0,-88.8817,250,0.0668144,8.83614,0.04,53741.2,0.0575,76,298.49,3.9965499999999995e-28,0.0544,0.0689,0.0746,0.003,1.0,0.005
2005na,64,0.02748,0.00086,0.02717,8e-05,0.02665,8e-05,15.9008,0.184895,35.1538,0.186856,-9.0,0,1,-0.073397,0.031585,-0.361526,0.097977,15.8067,0.0582785,0.00853714,0.000458244,-2.34642e-05,-1.70401e-06,-1.02624e-05,105.403,14.1333,-999,-999,-9.0,-88.8817,250,0.0668144,8.83614,3.0,53741.3,0.4352,27,34.905,0.14129,0.0718,0.0689,0.0271,0.002,1.0,0.006
2005na,57,0.02748,0.00086,0.02717,8e-05,0.02665,8e-05,15.8587,0.168141,35.1117,0.170295,-9.0,0,1,-0.087572,0.024515,-0.319979,0.082437,15.7287,0.0504852,0.00917286,0.000426525,-7.2143e-05,-8.29345e-08,-7.84395e-06,105.403,14.1333,-999,-999,-9.0,-88.8817,250,0.0668144,8.83614,-9.0,53741.3,0.217,42,65.4433,0.0117749,0.0527,0.0689,0.0412,0.002,1.0,0.006
2010ii,51,0.02805,0.00086,0.02704,5e-05,0.02814,5e-05,15.8776,0.182787,35.1306,0.184771,-9.0,0,1,-0.106486,0.031299,-1.63665,0.18002,15.9035,0.0566189,0.00780882,0.000407213,0.000248144,-2.23965e-06,-9.64551e-06,339.555,35.4917,-999,-999,-9.0,-294.382,250,0.0746751,7.97988,0.002,55481.1,0.1247,21,6.78703,0.99852,0.0697,0.0675,0.0614,0.004,1.0,0.005
PSNJ0252467,150,0.02816,0.00086,0.02748,3e-05,0.02809,3e-05,16.1083,0.188706,35.3613,0.190628,-9.0,0,1,-0.098566,0.044015,-0.242102,0.14107,15.943,0.1139,0.00753016,0.000789942,-0.000202164,1.65956e-06,-2.82425e-05,43.1946,46.9464,-999,-999,-9.0,-197.78,250,0.17,7.0,0.083,57289.7,0.2651,10,51.4588,1.43694e-07,0.0828,0.0672,0.0514,0.001,1.0,0.005
2009aa,5,0.02819,0.00088,0.02827,0.00018,0.02705,0.00018,16.0644,0.171301,35.3174,0.173415,-9.0,0,1,-0.080131,0.021855,-0.776049,0.027635,16.0179,0.0281524,0.007028,0.000182231,-0.00014077,6.16517e-07,-2.98171e-06,170.926,-22.2707,-999,-999,-9.0,25.3172,250,0.0292082,9.29935,0.02,54879.0,0.028,72,51.4399,0.96809,0.0513,0.0687,0.0344,0.003,1.0,0.006
2011hb,56,0.0282,0.00089,0.02775,0.00022,0.02901,0.00022,16.0344,0.291687,35.2874,0.292934,-9.0,0,1,0.033306,0.062281,0.14953,0.35962,16.0947,0.0597009,0.00654842,0.000360075,0.00635645,-6.46469e-05,-1.47763e-05,351.981,8.7794,-999,-999,-9.0,-131.722,250,0.0510806,11.031,0.004,55872.3,0.2153,13,2.92459,0.99819,0.1603,0.0695,-0.0731,0.001,1.0,0.009
2005eq,57,0.02823,0.00086,0.02831,1e-05,0.02893,1e-05,16.2531,0.160842,35.5061,0.163093,-9.0,0,1,-0.010084,0.025201,1.50904,0.089028,16.0004,0.0481914,0.00714215,0.000317011,-0.000136818,-3.14576e-07,-6.2257e-06,47.2055,-7.0332,-999,-999,-9.0,23.0788,250,0.0636272,10.3697,-9.0,53654.7,0.0975,55,34.3517,0.98689,0.0534,0.0671,-0.0513,0.001,1.0,0.005
2005eq,5,0.02823,0.00086,0.02831,1e-05,0.02893,1e-05,16.3033,0.157926,35.5563,0.160218,-9.0,0,1,-0.018126,0.02438,1.43934,0.054209,16.0393,0.0464354,0.00689109,0.000294722,-0.000363008,2.7919e-06,-5.36627e-06,47.2055,-7.0332,-999,-999,-9.0,23.0788,250,0.0636272,10.3697,0.14,53655.3,0.1003,68,62.287,0.67246,0.0537,0.0671,-0.048,0.001,1.0,0.004
2005eq,64,0.02823,0.00086,0.02831,1e-05,0.02893,1e-05,16.305,0.158705,35.558,0.160985,-9.0,0,1,-0.022145,0.028769,1.30814,0.076229,16.051,0.0503167,0.00681705,0.000315926,-0.000452898,1.55569e-06,-7.48426e-06,47.2055,-7.0332,-999,-999,-9.0,23.0788,250,0.0636272,10.3697,0.478,53654.8,0.0894,66,61.7964,0.62383,0.0595,0.0671,-0.0449,0.001,1.0,0.004
2009ad,65,0.02844,0.00086,0.02834,0.0,0.0284,0.0,16.119,0.158011,35.372,0.160301,-9.0,0,1,-0.08227,0.031352,0.14801,0.075007,15.9027,0.068596,0.00781468,0.000493726,-0.000103992,-1.92092e-07,-1.23156e-05,75.8891,6.6599,-999,-999,-9.0,-30.4927,250,0.0960493,10.4871,3.5,54886.5,0.1214,48,23.6257,0.9988,0.0612,0.0666,0.0076,0.001,1.0,0.003
2009ad,5,0.02844,0.00086,0.02834,0.0,0.0284,0.0,16.0891,0.15418,35.3421,0.156527,-9.0,0,1,-0.069418,0.0265,0.1767,0.032497,15.8932,0.0648409,0.00788368,0.000470819,-0.000229421,2.92566e-06,-9.5956e-06,75.8891,6.6599,-999,-999,-9.0,-30.4927,250,0.0960493,10.4871,0.04,54887.1,0.0334,44,63.5644,0.0282689,0.0535,0.0666,-0.0076,0.001,1.0,0.003
2008ar,57,0.02849,0.00086,0.02732,1e-05,0.02617,1e-05,16.1838,0.178289,35.4368,0.180322,-9.0,0,1,-0.092002,0.028139,0.19622,0.086288,15.9649,0.0356722,0.00737955,0.000242458,-1.32006e-05,-2.62083e-06,-5.59768e-06,186.158,10.8382,-999,-999,-9.0,-342.801,250,0.0316567,9.98914,-9.0,54535.1,0.0735,38,52.6928,0.0569034,0.0636,0.0665,0.0422,0.002,1.0,0.006
2008ar,5,0.02849,0.00086,0.02732,1e-05,0.02617,1e-05,16.0383,0.176186,35.2913,0.178243,-9.0,0,1,-0.065509,0.022788,-0.139414,0.037394,15.9302,0.0301581,0.00761907,0.000211632,-0.000108081,-8.36138e-08,-3.54917e-06,186.158,10.8382,-999,-999,-9.0,-342.801,250,0.0316567,9.98914,0.05,54535.4,0.0444,56,69.5915,0.10477,0.0537,0.0665,0.0216,0.002,1.0,0.006
2008ar,65,0.02849,0.00086,0.02732,1e-05,0.02617,1e-05,16.106,0.178209,35.359,0.180243,-9.0,0,1,-0.070904,0.027043,-0.003834,0.070529,15.9633,0.0354561,0.00739088,0.000241358,-0.000113208,-3.91351e-07,-5.36265e-06,186.158,10.8382,-999,-999,-9.0,-342.801,250,0.0316567,9.98914,0.052,54534.7,0.0719,40,28.4649,0.9136,0.0601,0.0665,0.0235,0.002,1.0,0.006
2007is,65,0.02866,0.00086,0.02953,1e-05,0.02953,1e-05,16.0919,0.209647,35.3449,0.211378,-9.0,0,1,0.004586,0.031987,-0.440798,0.18389,16.1685,0.0402055,0.00611796,0.000226552,-0.0015436,1.05359e-05,-6.09435e-06,251.811,40.2436,-999,-999,-9.0,253.015,250,0.0174834,10.7887,0.067,54366.7,0.5851,13,15.008,0.30685,0.0794,0.0661,-0.055,0.001,1.0,0.006
1998ab,62,0.02873,0.00086,0.02806,1e-05,0.02731,1e-05,15.6957,0.226143,34.9487,0.227749,-9.0,0,1,0.08478,0.027209,0.22754,0.074312,15.8787,0.0328133,0.0079893,0.000241454,0.000248509,-4.67913e-06,-5.47396e-06,192.197,41.9245,-999,-999,-9.0,-194.196,250,0.0145775,10.3527,0.18,50914.7,0.059,25,147.841,2.10645e-19,0.0603,0.0659,-0.098,0.002,1.0,0.015
ASASSN-15la,150,0.02902,0.00086,0.02845,1e-05,0.02782,1e-05,15.8028,0.21699,35.0558,0.218663,-9.0,0,1,0.053166,0.034029,-1.01539,0.22257,16.109,0.0397499,0.00646223,0.000236589,0.00100247,-7.96918e-06,-6.98025e-06,213.213,35.7112,-999,-999,-9.0,-166.734,250,0.01626,10.5989,0.125,57190.0,0.2456,9,28.8126,0.00069692,0.0772,0.0653,-0.0604,0.001,1.0,0.011
1996C,61,0.02913,0.00086,0.02875,2e-05,0.02823,2e-05,16.2622,0.249362,35.5152,0.250819,-9.0,0,1,0.042514,0.029332,0.66261,0.13046,16.3611,0.0352173,0.00512359,0.00016619,-0.000605728,3.84194e-06,-3.96896e-06,207.702,49.3186,-999,-999,-9.0,-112.455,250,0.0120767,9.36646,0.19,50129.6,0.3495,36,42.123,0.22305,0.0704,0.065,0.0128,0.004,1.0,0.02
PS16cvc,150,0.02915,0.00086,0.02844,9e-05,0.02954,9e-05,16.4418,0.181346,35.6948,0.183345,-9.0,0,1,-0.099116,0.036324,1.16607,0.13242,16.0629,0.0673696,0.006743,0.000418401,-0.000998739,4.37221e-06,-1.19535e-05,318.097,14.7793,-999,-999,-9.0,-206.273,250,0.0823755,7.95752,0.258,57564.5,0.3466,23,83.2724,9.29885e-09,0.0796,0.065,0.0472,0.001,1.0,0.005
ASASSN-15fs,150,0.02917,0.00086,0.0285,5e-05,0.02902,5e-05,15.9861,0.183851,35.2391,0.185823,-9.0,0,1,0.006798,0.034783,-0.021703,0.13116,16.0172,0.0620571,0.00703289,0.000401977,0.000172452,-1.73379e-06,-1.09874e-05,284.67,43.4689,-999,-999,-9.0,-196.215,250,0.0774664,10.0517,0.001,57113.4,0.2092,11,34.7234,0.000275213,0.0723,0.0649,-0.0456,0.001,1.0,0.006
PSNJ0859349,150,0.02938,0.00086,0.02874,1e-05,0.02812,1e-05,16.219,0.224134,35.472,0.225755,-9.0,0,1,0.064272,0.033467,-0.88688,0.13659,16.5366,0.0398645,0.00435888,0.000160043,0.000208879,-2.09811e-06,-4.52495e-06,134.895,45.9259,-999,-999,-9.0,-185.72,250,0.0208491,10.2177,0.01,57099.4,0.2334,8,18.8488,0.0156893,0.0755,0.0645,-0.0644,0.001,1.0,0.013
LSQ12gdj,56,0.02947,0.00086,0.02886,0.0001,0.02991,0.0001,15.8409,0.271354,35.0939,0.272694,-9.0,0,1,-0.007815,0.051505,1.27062,0.23744,15.6921,0.0428162,0.00948811,0.000374165,0.00185701,-3.86275e-05,-1.39982e-05,358.681,-25.6761,-999,-999,-9.0,-175.715,250,0.0201236,8.87386,0.083,56254.2,0.1864,24,14.0232,0.94612,0.1347,0.0643,0.0104,0.004,1.0,0.011
2000cw,57,0.02949,0.00086,0.02896,1e-05,0.03013,1e-05,16.3549,0.222602,35.6079,0.224233,-9.0,0,1,-0.034882,0.04422,-0.841401,0.11901,16.4358,0.0519131,0.00478267,0.000228677,-0.000483922,-1.66693e-07,-7.05444e-06,356.855,28.3877,-999,-999,-9.0,-153.644,250,0.0619387,7.0,-9.0,51748.7,0.1014,36,18.8156,0.99185,0.1107,0.0642,0.0123,0.003,1.0,0.007
2002de,57,0.0295,0.00086,0.0305,1e-05,0.03034,1e-05,16.1108,0.282455,35.3638,0.283742,-9.0,0,1,0.086425,0.018529,0.32358,0.066219,16.4092,0.0228616,0.00490147,0.000103207,-3.52532e-05,-4.00117e-08,-1.59737e-06,244.127,35.7084,-999,-999,-9.0,289.982,250,0.016738,9.07466,-9.0,52434.0,0.0708,68,110.719,0.000821397,0.0418,0.0642,0.0265,0.007,1.0,0.03
ASASSN-16hh,18,0.02978,0.00086,0.02935,9e-05,0.03026,9e-05,16.2485,0.188445,35.5015,0.190369,-9.0,0,1,-0.087344,0.040541,0.84206,0.40743,15.9408,0.0842387,0.00754542,0.000585424,0.00693856,-8.61215e-05,-1.9335e-05,31.1559,21.5861,-999,-999,-9.0,-126.591,250,0.10965,7.0,-9.0,57592.2,0.2521,26,15.0604,0.95622,0.0809,0.0636,0.0342,0.002,1.0,0.006
Gaia16bba,150,0.0299,0.00086,0.02934,9e-05,0.03046,9e-05,16.1824,0.183358,35.4354,0.185335,-9.0,0,1,-0.062035,0.036432,0.007502,0.12781,16.0666,0.0544101,0.00671964,0.000336745,-0.000985311,7.42855e-06,-1.03981e-05,15.398,17.1013,-999,-999,-9.0,-161.216,250,0.0400056,7.97207,0.023,57627.1,0.5274,8,13.2362,0.15221,0.0785,0.0634,0.0248,0.001,1.0,0.006
2004ef,57,0.03012,0.00086,0.02978,2e-05,0.03101,2e-05,16.2665,0.19422,35.5195,0.196088,-9.0,0,1,0.038781,0.028285,-1.24846,0.12743,16.5549,0.0449477,0.00428583,0.000177426,-0.000341494,3.02786e-06,-3.8828e-06,340.542,19.9946,-999,-999,-9.0,-99.5544,250,0.0472282,10.3255,-9.0,53263.8,0.3114,38,36.0804,0.55848,0.0635,0.0629,-0.0681,0.002,1.0,0.009
2004ef,5,0.03012,0.00086,0.02978,2e-05,0.03101,2e-05,16.2308,0.197459,35.4838,0.199296,-9.0,0,1,0.052068,0.022244,-1.42181,0.022895,16.5796,0.0365877,0.00418943,0.000141178,-0.000124927,4.48478e-07,-2.23567e-06,340.542,19.9946,-999,-999,-9.0,-99.5544,250,0.0472282,10.3255,0.02,53264.7,0.0257,164,176.102,0.2454,0.0508,0.0629,-0.0744,0.001,1.0,0.011
2004ef,64,0.03012,0.00086,0.02978,2e-05,0.03101,2e-05,16.2231,0.231922,35.4761,0.233488,-9.0,0,1,0.071029,0.03439,-1.65809,0.18889,16.656,0.046568,0.00390486,0.000167482,-5.70297e-05,-5.33859e-06,-4.39408e-06,340.542,19.9946,-999,-999,-9.0,-99.5544,250,0.0472282,10.3255,0.049,53264.7,0.482,10,4.45977,0.92423,0.0848,0.0629,-0.0838,0.002,1.0,0.014
AT2017lm,150,0.03031,0.00086,0.03002,6e-05,0.03064,6e-05,16.3012,0.214581,35.5542,0.216273,-9.0,0,1,-0.016333,0.036082,1.07786,0.31691,16.1577,0.0537933,0.00617899,0.000306141,0.00065026,-7.99276e-06,-8.66566e-06,45.3849,-15.016,-999,-999,-9.0,-83.3033,250,0.0587575,9.52589,0.013,57778.8,0.4514,4,4.15494,0.38544,0.0891,0.0625,0.0136,0.001,1.0,0.01
ASASSN-16hr,150,0.03083,0.00086,0.0298,1e-05,0.03086,1e-05,16.2118,0.277436,35.4648,0.278746,-9.0,0,1,0.054686,0.038983,1.05225,0.19827,16.3179,0.0799116,0.0053313,0.00039239,-0.000402036,-1.81632e-06,-1.16458e-05,336.382,38.9844,-999,-999,-9.0,-300.269,250,0.10526,9.46113,0.003,57597.1,0.033,9,7.82678,0.55169,0.0871,0.0615,0.0399,0.002,1.0,0.023
1990O,50,0.03091,0.00087,0.03093,0.0001,0.03099,0.0001,16.2396,0.164272,35.4926,0.166476,-9.0,0,1,-0.069695,0.0334,0.51757,0.1821,15.9911,0.0639354,0.00720341,0.000424185,-0.000392802,1.39145e-06,-1.09871e-05,258.901,16.322,-999,-999,-9.0,6.1158,250,0.0819047,10.4738,-9.0,48076.9,0.4185,11,4.0925,0.96713,0.0744,0.062,-0.009,0.001,1.0,0.003
2008gg,51,0.03114,0.00087,0.03107,0.00015,0.03203,0.00015,16.417,0.235291,35.67,0.236835,-9.0,0,1,0.040009,0.031928,1.124,0.29643,16.3496,0.038031,0.00517779,0.000181367,-8.73066e-05,-4.27746e-06,-3.89823e-07,21.346,-18.1724,-999,-999,-9.0,-18.6955,250,0.0212022,10.9334,-9.0,54750.4,0.5095,26,23.0991,0.62733,0.1138,0.0616,-0.0777,0.002,1.0,0.009
2008gg,5,0.03114,0.00087,0.03107,0.00015,0.03203,0.00015,16.2879,0.182914,35.5409,0.184896,-9.0,0,1,0.033608,0.022555,0.83388,0.050831,16.2469,0.027168,0.00569157,0.000142418,-0.000344568,2.37676e-06,-2.4807e-06,21.346,-18.1724,-999,-999,-9.0,-18.6955,250,0.0212022,10.9334,0.48,54750.2,0.1752,68,98.7894,0.00871523,0.054,0.0616,-0.0743,0.001,1.0,0.009
1999cc,62,0.03116,0.00086,0.03132,1e-05,0.03111,1e-05,16.3347,0.166924,35.5877,0.169094,-9.0,0,1,-0.027281,0.026522,-1.60696,0.074875,16.5114,0.0311547,0.00446117,0.000128011,-0.00016901,5.05718e-07,-2.85617e-06,240.675,37.3596,-999,-999,-9.0,46.9799,250,0.0195936,11.2896,0.095,51315.9,0.1339,47,34.0611,0.92086,0.0603,0.0609,-0.0284,0.001,1.0,0.004
2007bd,51,0.0312,0.00087,0.03141,0.0001,0.03044,0.0001,16.2427,0.17387,35.4957,0.175954,-9.0,0,1,-0.056702,0.033189,-1.2054,0.22471,16.2903,0.0415602,0.0054687,0.000209333,0.000573057,-1.63554e-05,-5.38557e-06,127.889,-1.1994,-999,-999,-9.0,62.7014,250,0.0292147,10.4344,0.002,54206.7,0.2262,10,2.54105,0.99026,0.0848,0.0615,-0.0073,0.001,1.0,0.003
2007bd,5,0.0312,0.00087,0.03141,0.0001,0.03044,0.0001,16.3263,0.146208,35.5793,0.14868,-9.0,0,1,-0.102398,0.023026,-1.07849,0.038739,16.2545,0.0285756,0.00565174,0.000148749,-0.0001799,3.81241e-07,-2.59892e-06,127.889,-1.1994,-999,-999,-9.0,62.7014,250,0.0292147,10.4344,0.16,54207.3,0.0461,40,91.8366,5.92132e-06,0.0546,0.0615,0.0334,0.001,1.0,0.003
2007bd,64,0.0312,0.00087,0.03141,0.0001,0.03044,0.0001,16.2311,0.151414,35.4841,0.153803,-9.0,0,1,-0.054047,0.027002,-1.4426,0.06532,16.3202,0.0343354,0.00531998,0.000168239,-0.000161018,5.96236e-08,-3.75801e-06,127.889,-1.1994,-999,-999,-9.0,62.7014,250,0.0292147,10.4344,0.442,54206.5,0.0571,30,28.3614,0.55129,0.0604,0.0615,-0.009,0.001,1.0,0.003
ASASSN-15hg,150,0.03143,0.00086,0.03107,1e-05,0.02992,1e-05,16.3931,0.194347,35.6461,0.196214,-9.0,0,1,0.011862,0.035988,-1.28742,0.13594,16.6256,0.0503451,0.00401584,0.000186213,-0.000261138,-8.04685e-07,-5.0068e-06,148.452,9.1939,-999,-999,-9.0,-105.007,250,0.0420214,10.2789,0.006,57131.5,0.0208,10,11.5475,0.31648,0.0852,0.0603,-0.0466,0.001,1.0,0.006
ATLAS17axb,150,0.03143,0.00087,0.03264,0.0001,0.03165,0.0001,16.3072,0.183588,35.5602,0.185563,-9.0,0,1,-0.102111,0.038173,-0.127194,0.14813,16.1111,0.0717496,0.00645015,0.00042625,-0.000343842,-3.08602e-06,-1.26911e-05,205.847,-19.9437,-999,-999,-9.0,351.466,250,0.0940993,9.60754,0.002,57796.7,0.2355,6,14.6283,0.0233537,0.0826,0.061,0.0485,0.001,1.0,0.005
CSS160428,150,0.03148,0.00087,0.03081,0.00015,0.03029,0.00015,16.4487,0.162055,35.7017,0.164289,-9.0,0,1,-0.057822,0.032365,0.8256,0.14949,16.1861,0.0364702,0.00601971,0.000202204,-0.000185429,-1.49032e-06,-5.65096e-06,200.78,52.6491,-999,-999,-9.0,-196.002,250,0.00952833,10.078,0.1,57517.6,0.2586,10,20.184,0.0275592,0.076,0.0609,-0.0144,0.001,1.0,0.003
2000dn,57,0.03148,0.00089,0.03081,0.00022,0.03207,0.00022,16.454,0.218912,35.707,0.22057,-9.0,0,1,-0.082751,0.0447,-0.301281,0.12132,16.3301,0.0431834,0.00527195,0.000209683,-0.00031527,-3.58612e-06,-6.79639e-06,346.274,-3.2003,-999,-999,-9.0,-192.92,250,0.0412535,7.0,-9.0,51825.1,0.084,30,15.7859,0.98448,0.1146,0.0623,0.0351,0.003,1.0,0.006
2006en,57,0.03162,0.00086,0.03081,1e-05,0.03198,1e-05,16.3944,0.192354,35.6474,0.19424,-9.0,0,1,0.03606,0.029484,-0.171952,0.14609,16.5072,0.0484629,0.00447841,0.000199898,-0.00060446,4.8501e-06,-4.5538e-06,347.521,30.2233,-999,-999,-9.0,-236.154,250,0.0552784,10.183,-9.0,53973.5,0.3536,41,25.919,0.96805,0.0671,0.06,-0.0765,0.002,1.0,0.009
2006en,64,0.03162,0.00086,0.03081,1e-05,0.03198,1e-05,16.4317,0.186128,35.6847,0.188076,-9.0,0,1,0.023112,0.029649,-0.46389,0.09966,16.5576,0.0522806,0.00427533,0.000205867,-0.000173504,-2.45665e-07,-4.3167e-06,347.521,30.2233,-999,-999,-9.0,-236.154,250,0.0552784,10.183,0.058,53973.2,0.0112,29,57.013,0.00143153,0.069,0.06,-0.0664,0.002,1.0,0.008
2008bq,5,0.03166,0.00087,0.03279,0.00014,0.03232,0.00014,16.4749,0.175991,35.7279,0.17805,-9.0,0,1,0.013262,0.02537,0.36029,0.039658,16.4518,0.0545161,0.00471292,0.000236641,-0.00027968,2.00151e-06,-4.43739e-06,100.26,-38.0386,-999,-999,-9.0,328.616,250,0.0777647,10.9133,10.0,54564.0,0.0801,61,101.103,0.000953806,0.0544,0.0606,-0.0634,0.001,1.0,0.007
ASASSN-16oz,150,0.03192,0.00218,0.03207,0.002,0.031,0.002,16.2062,0.274741,35.4592,0.276064,-9.0,0,1,-0.039578,0.036562,1.49117,0.18574,15.9323,0.0501589,0.00760498,0.000351335,0.000772264,-1.50056e-05,-1.00314e-05,135.056,-13.634,-999,-999,-9.0,42.8736,250,0.0468263,8.01111,0.008,57749.9,0.2813,7,5.28065,0.62576,0.0844,0.1506,0.016,0.001,1.0,0.006
2006az,64,0.03201,0.00086,0.03158,1e-05,0.03103,1e-05,16.2366,0.146203,35.4896,0.148675,-9.0,0,1,-0.106375,0.026597,-1.42383,0.044635,16.2089,0.0296513,0.0058945,0.000160978,-0.000160482,3.72256e-07,-3.725e-06,183.061,56.1794,-999,-999,-9.0,-124.251,250,0.011932,11.1124,0.021,53826.9,0.0786,85,160.593,1.38966e-06,0.0598,0.0593,0.0388,0.001,1.0,0.003
010026,15,0.03236,0.00086,0.03174,3e-05,0.03123,3e-05,16.4216,0.200299,35.6746,0.20211,-9.0,0,1,-0.031578,0.032595,-0.409321,0.082041,16.4521,0.0382227,0.00471142,0.000165863,0.000205188,-3.70719e-06,-4.74179e-06,160.674,58.8438,-999,-999,14.8541,-178.946,250,0.00699953,9.61222,0.01,55248.0,0.0796,15,20.5415,0.15213,0.0712,0.0586,0.0154,0.012,1.0,0.01
AT2017po,150,0.03255,0.00086,0.03201,1e-05,0.03183,1e-05,16.323,0.194953,35.576,0.196814,-9.0,0,1,-0.0745,0.036728,0.21503,0.2454,16.1447,0.0462986,0.00625354,0.000266667,-0.000222569,-4.06378e-06,-6.89764e-06,240.965,39.9901,-999,-999,-9.0,-156.239,250,0.0119043,8.98827,0.082,57784.3,0.0472,6,18.9048,0.00849089,0.0968,0.0583,0.0314,0.001,1.0,0.005
2007ux,5,0.03264,0.00086,0.03183,1e-05,0.0307,1e-05,16.6278,0.188113,35.8808,0.19004,-9.0,0,1,0.044949,0.023599,-1.93734,0.051458,17.0308,0.0333747,0.00276481,8.49882e-05,-0.000198597,3.41428e-07,-1.48835e-06,152.333,14.9924,-999,-999,-9.0,-233.209,250,0.0386548,10.0948,0.01,54465.2,0.008,48,185.686,4.428120000000001e-18,0.055,0.0581,-0.0742,0.001,1.0,0.01
ASASSN-15pr,150,0.03264,0.00087,0.03189,0.00015,0.03309,0.00015,16.6552,0.19632,35.9082,0.198168,-9.0,0,1,-0.055939,0.044616,-0.669639,0.2244,16.6543,0.0661809,0.00391077,0.00023838,-0.0049346,3.2168e-05,-1.00805e-05,346.664,-12.5728,-999,-999,-9.0,-217.887,250,0.0294079,9.55707,0.002,57282.9,0.837,8,12.6701,0.17811,0.0952,0.0588,0.0209,0.001,1.0,0.006
SN2016hpx,150,0.03282,0.00098,0.0337,0.00046,0.03338,0.00046,16.3799,0.202232,35.6329,0.204026,-9.0,0,1,-0.028927,0.037089,0.83599,0.1692,16.2306,0.0476938,0.00577786,0.000253808,0.000675607,-1.48216e-05,-8.02999e-06,90.8194,-26.8986,-999,-999,-9.0,254.849,250,0.0245107,9.09468,0.013,57703.9,0.2153,5,15.2925,0.00918294,0.0832,0.0659,0.0111,0.001,1.0,0.008
SN2017cii,150,0.03289,0.00086,0.03337,1e-05,0.03323,1e-05,16.5851,0.176607,35.8381,0.178659,-9.0,0,1,-0.115009,0.036509,0.33544,0.15317,16.2878,0.0600732,0.00548104,0.000303263,-0.00124793,1.18157e-05,-9.17209e-06,248.333,23.7313,-999,-999,-9.0,138.77,250,0.0579897,8.8988,0.002,57837.4,0.5833,8,14.0151,0.0813729,0.078,0.0577,0.0555,0.001,1.0,0.004
2006te,64,0.0329,0.00086,0.03212,1e-05,0.03155,1e-05,16.4718,0.151157,35.7248,0.15355,-9.0,0,1,-0.08068,0.030485,-0.090751,0.098736,16.2935,0.0452019,0.0054524,0.000226997,-0.00084691,6.45083e-06,-5.81835e-06,122.929,41.5547,-999,-999,-9.0,-227.18,250,0.0389139,10.4808,0.076,54097.1,0.3658,39,50.6305,0.10049,0.0661,0.0577,0.0054,0.001,1.0,0.003
2004as,57,0.03296,0.00086,0.0325,1e-05,0.03139,1e-05,16.4794,0.218528,35.7324,0.22019,-9.0,0,1,0.027296,0.019024,-0.251932,0.087269,16.6528,0.0226211,0.00391643,8.15982e-05,0.000126786,-1.27113e-06,-1.29794e-06,171.413,22.8304,-999,-999,-9.0,-136.074,250,0.0131774,8.76504,-9.0,53085.6,0.0594,64,87.5825,0.0268203,0.0436,0.0576,-0.0006,0.004,1.0,0.016
2004as,63,0.03296,0.00086,0.0325,1e-05,0.03139,1e-05,16.6377,0.22412,35.8907,0.225741,-9.0,0,1,0.021543,0.028066,0.42134,0.13801,16.6988,0.0322341,0.00375385,0.000111447,8.83673e-05,-2.74325e-06,-2.69086e-06,171.413,22.8304,-999,-999,-9.0,-136.074,250,0.0131774,8.76504,0.06,53086.3,0.148,16,37.7745,0.00162947,0.0658,0.0576,0.0043,0.004,1.0,0.015
2008gp,51,0.03333,0.00088,0.03245,0.0002,0.03303,0.0002,16.4738,0.160376,35.7268,0.162633,-9.0,0,1,-0.130539,0.031345,-0.205011,0.33919,16.209,0.0725705,0.00589384,0.000393944,0.00184882,-1.86792e-05,-9.56875e-06,50.753,1.3619,-999,-999,-9.0,-257.669,250,0.10369,10.4696,-9.0,54779.6,0.2606,26,7.82743,0.99978,0.0748,0.0583,0.0562,0.002,1.0,0.003
2010ag,66,0.03335,0.00086,0.03336,2e-05,0.0334,2e-05,16.5629,0.19712,35.8159,0.198961,-9.0,0,1,0.028141,0.030831,1.79713,0.21663,16.3599,0.038038,0.00512906,0.000179693,-0.000237543,-3.02053e-06,-4.35802e-06,255.973,31.5017,-999,-999,-9.0,3.241,250,0.0264046,10.6105,0.461,55268.2,0.5502,30,119.715,2.31871e-12,0.0791,0.0569,-0.0773,0.003,1.0,0.008
2005iq,64,0.03341,0.00087,0.03292,0.00012,0.03404,0.00012,16.6117,0.148553,35.8647,0.150987,-9.0,0,1,-0.098536,0.027585,-1.11399,0.11021,16.5537,0.0324163,0.00429054,0.0001281,-0.000145681,-2.94306e-07,-3.01068e-06,359.635,-18.7092,-999,-999,-9.0,-141.551,250,0.0190066,10.49,0.28089,53687.8,0.1393,40,36.9316,0.60916,0.0635,0.0575,0.03,0.001,1.0,0.003
