z,fs8_pred,fs8_fit,fs8_pred_ocean,fs8_lcdm_repaired,fs8_model_repaired,R_res
0.9938812097072092,0.0,0.4511184112730494,0.4257559544455743,0.4511184112730494,0.4257559544455743,1.05957041014377
0.982903988621747,0.0,0.4511184112730494,0.4268466536861148,0.4511184112730494,0.4268466536861148,1.0568629445196098
0.9719872021209396,0.0,0.4511184112730494,0.4279243256001859,0.4511184112730494,0.4279243256001859,1.0542013722644363
0.9611305174849664,0.0,0.4511184112730494,0.4289886409428499,0.4511184112730494,0.4289886409428499,1.0515859121154392
0.950333603825782,0.0,0.4511184112730494,0.4300393146770092,0.4511184112730494,0.4300393146770092,1.049016673305491
0.939596132077028,0.0,0.4511184112730494,0.4310761621170575,0.4511184112730494,0.4310761621170575,1.0464935222990814
0.9289177749840084,0.0,0.4511184112730494,0.4320989206236785,0.4511184112730494,0.4320989206236785,1.0440165196939597
0.9182982070937092,0.0,0.4511184112730494,0.4331073275649874,0.4511184112730494,0.4331073275649874,1.0415857284366992
0.907737104744886,0.0,0.4511184112730494,0.4341010566631334,0.4511184112730494,0.4341010566631334,1.0392013664761053
0.897234146058195,0.0,0.4511184112730494,0.4350797830817543,0.4511184112730494,0.4350797830817543,1.0368636484961227
0.8867890109263845,0.0,0.4511184112730494,0.4360433586603467,0.4511184112730494,0.4360433586603467,1.0345723706445562
0.8764013810045395,0.0,0.4511184112730494,0.4369915218800849,0.4511184112730494,0.4369915218800849,1.032327605195144
0.8660709397003767,0.0,0.4511184112730494,0.4379240118092257,0.4511184112730494,0.4379240118092257,1.0301294268138272
0.8557973721645982,0.0,0.4511184112730494,0.4388405146456763,0.4511184112730494,0.4388405146456763,1.0279780380744616
0.8455803652812937,0.0,0.4511184112730494,0.4397406549498451,0.4511184112730494,0.4397406549498451,1.025873787640813
0.8354196076583977,0.0,0.4511184112730494,0.440624331267599,0.4511184112730494,0.440624331267599,1.0238163879313265
0.8253147896182014,0.0,0.4511184112730494,0.4414912862324654,0.4511184112730494,0.4414912862324654,1.0218059231083325
0.8152656031879097,0.0,0.4511184112730494,0.4423412636937848,0.4511184112730494,0.4423412636937848,1.019842479776747
0.8052717420902593,0.0,0.4511184112730494,0.4431739723040065,0.4511184112730494,0.4431739723040065,1.0179262309285466
0.7953329017341824,0.0,0.4511184112730494,0.443988975335784,0.4511184112730494,0.443988975335784,1.0160576868645748
0.7854487792055216,0.0,0.4511184112730494,0.4447862283888955,0.4511184112730494,0.4447862283888955,1.0142364634514212
0.7756190732578008,0.0,0.4511184112730494,0.4455654815108836,0.4511184112730494,0.4455654815108836,1.0124626569889037
0.7658434843030424,0.0,0.4511184112730494,0.4463264866330242,0.4511184112730494,0.4463264866330242,1.0107363662779107
0.7561217144026358,0.0,0.4511184112730494,0.447068985139379,0.4511184112730494,0.447068985139379,1.0090577209967002
0.746453467258259,0.0,0.4511184112730494,0.4477924686760071,0.4511184112730494,0.4477924686760071,1.007427419685901
0.7368384482028456,0.0,0.4511184112730494,0.4484969602048174,0.4511184112730494,0.4484969602048174,1.0058449695334275
0.7272763641916054,0.0,0.4511184112730494,0.4491822206236543,0.4511184112730494,0.4491822206236543,1.0043104792676496
0.7177669237930928,0.0,0.4511184112730494,0.449848013408736,0.4511184112730494,0.449848013408736,1.0028240601857659
0.7083098371803251,0.0,0.4511184112730494,0.4504941047535045,0.4511184112730494,0.4504941047535045,1.001385826169438
0.6989048161219482,0.0,0.4511184112730494,0.4511199598154172,0.4511184112730494,0.4511199598154172,0.9999965673379462
0.6895515739734526,0.0,0.4511184112730494,0.4517256240655814,0.4511184112730494,0.4517256240655814,0.9986557928968761
0.6802498256684364,0.0,0.4511184112730494,0.4523108910927153,0.4511184112730494,0.4523108910927153,0.9973635836696636
0.6709992877099189,0.0,0.4511184112730494,0.4528755394728537,0.4511184112730494,0.4528755394728537,0.9961200637997593
0.6617996781616973,0.0,0.4511184112730494,0.4534193512061129,0.4511184112730494,0.4534193512061129,0.9949253600955873
0.6526507166397575,0.0,0.4511184112730494,0.4539418137912449,0.4511184112730494,0.4539418137912449,0.9937802545779714
0.6435521243037245,0.0,0.4511184112730494,0.4544429469761741,0.4511184112730494,0.4544429469761741,0.9926843716571114
0.6345036238483677,0.0,0.4511184112730494,0.4549225998631364,0.4511184112730494,0.4549225998631364,0.991637723447392
0.6255049394951473,0.0,0.4511184112730494,0.4553805696933776,0.4511184112730494,0.4553805696933776,0.9906404473445188
0.6165557969838091,0.0,0.4511184112730494,0.4558166578305239,0.4511184112730494,0.4558166578305239,0.9896926835016606
0.6076559235640266,0.0,0.4511184112730494,0.4562303852309914,0.4511184112730494,0.4562303852309914,0.9887951918078544
0.5988050479870877,0.0,0.4511184112730494,0.4566217356968484,0.4511184112730494,0.4566217356968484,0.9879477388096728
0.5900029004976268,0.0,0.4511184112730494,0.4569906236777866,0.4511184112730494,0.4569906236777866,0.9871502562624184
0.5812492128254052,0.0,0.4511184112730494,0.4573368685660565,0.4511184112730494,0.4573368685660565,0.9864028952826293
0.5725437181771325,0.0,0.4511184112730494,0.4576602945474075,0.4511184112730494,0.4576602945474075,0.9857058098500165
0.5638861512283373,5.896129422192662e-08,0.4511184112730494,0.4579604668839721,0.4511184112730494,0.4579604668839721,0.98505972435246
0.5552762481152793,2.930935331375119e-07,0.4511184112730494,0.4582373237447761,0.4511184112730494,0.4582373237447761,0.9844645730436142
0.5467137464269081,2.814649051492205e-07,0.4511184112730494,0.4584908540823882,0.4511184112730494,0.4584908540823882,0.9839201965672929
0.5381983851968652,2.697778805198325e-07,0.4511184112730494,0.4587209027504484,0.4511184112730494,0.4587209027504484,0.9834267602984403
0.5297299048955306,2.6365893148364264e-07,0.4511184112730494,0.4589273200207205,0.4511184112730494,0.4589273200207205,0.9829844325952996
0.5213080474221121,2.592804010440263e-07,0.4511184112730494,0.4591097257777031,0.4511184112730494,0.4591097257777031,0.9825938897479968
0.5129325560967801,2.5564424568285655e-07,0.4511184112730494,0.4592680036282,0.4511184112730494,0.4592680036282,0.9822552577345491
0.5046031756528435,2.523920082638863e-07,0.4511184112730494,0.459402225249348,0.4511184112730494,0.459402225249348,0.981968276336053
0.4963196522289708,2.4936815767427544e-07,0.4511184112730494,0.459512263993424,0.4511184112730494,0.459512263993424,0.9817331257985865
0.4880817333614513,2.464959770076449e-07,0.4511184112730494,0.4595979991897597,0.4511184112730494,0.4595979991897597,0.9815499894872057
0.4798891679765029,2.437338765243045e-07,0.4511184112730494,0.4596591148676826,0.4511184112730494,0.4596591148676826,0.9814194838775432
0.4717417063826177,2.4105757993078483e-07,0.4511184112730494,0.4596954321132813,0.4511184112730494,0.4596954321132813,0.9813419489491071
0.4636391002629534,2.384520553262593e-07,0.4511184112730494,0.4597071123722439,0.4511184112730494,0.4597071123722439,0.9813170149687833
0.4555811026677643,2.359075274297885e-07,0.4511184112730494,0.4596940601641952,0.4511184112730494,0.4596940601641952,0.9813448777474247
0.4475674680068753,2.334173362123445e-07,0.4511184112730494,0.4596561864608552,0.4511184112730494,0.4596561864608552,0.9814257363671252
0.4395979520421968,2.3097676007932638e-07,0.4511184112730494,0.4595932479128014,0.4511184112730494,0.4595932479128014,0.9815601367551859
0.4316723118802805,1.6776904877035816e-07,0.4511184112730494,0.4595049962925669,0.4511184112730494,0.4595049962925669,0.9817486532525584
0.423790305964917,5.0978101965557954e-08,0.4511184112730494,0.4593916884586237,0.4511184112730494,0.4593916884586237,0.9819907991515187
0.4159516940697729,1.4515866447147726e-10,0.4511184112730494,0.4592532623095642,0.4511184112730494,0.4592532623095642,0.9822867866074484
0.408156237291071,2.3707591213906435e-10,0.4511184112730494,0.4590896625709213,0.4511184112730494,0.4590896625709213,0.9826368312167332
0.4004036980403067,3.282502546651985e-10,0.4511184112730494,0.4589007257148246,0.4511184112730494,0.4589007257148246,0.9830413987041473
0.3926938400370086,4.1946261190973366e-10,0.4511184112730494,0.4586861287427682,0.4511184112730494,0.4586861287427682,0.9835013160514327
0.3850264283015356,5.11455406949726e-10,0.4511184112730494,0.4584462279807844,0.4511184112730494,0.4584462279807844,0.984015973389049
0.377401229147918,6.04947028608526e-10,0.4511184112730494,0.4581809963837061,0.4511184112730494,0.4581809963837061,0.9845856000873024
0.3698180101767314,7.006737994065507e-10,0.4511184112730494,0.4578904139943956,0.4511184112730494,0.4578904139943956,0.9852104291455442
0.362276540268017,7.99422168115363e-10,0.4511184112730494,0.457574402832782,0.4511184112730494,0.457574402832782,0.9858908375998211
0.3547765895742361,9.020187751613671e-10,0.4511184112730494,0.4572325611448439,0.4511184112730494,0.4572325611448439,0.9866279211251151
0.3473179295132644,1.0093695940787927e-09,0.4511184112730494,0.4568653470415325,0.4511184112730494,0.4568653470415325,0.987420941847094
0.3399003327614267,1.122540580526602e-09,0.4511184112730494,0.4564727696149818,0.4511184112730494,0.4564727696149818,0.9882701473158003
0.3325235732465676,1.2427444455395234e-09,0.4511184112730494,0.4560548451826094,0.4511184112730494,0.4560548451826094,0.9891757889172663
0.3251874261411613,1.3713593067905514e-09,0.4511184112730494,0.4556115854077378,0.4511184112730494,0.4556115854077378,0.9901381477587596
0.3178916678554599,1.5101115763426378e-09,0.4511184112730494,0.4551425073693432,0.4511184112730494,0.4551425073693432,0.9911586019078893
0.3106360760306779,1.661126536920403e-09,0.4511184112730494,0.4546481714447387,0.4511184112730494,0.4546481714447387,0.9922362820453611
0.3034204295322167,1.8269454870240343e-09,0.4511184112730494,0.4541286233051536,0.4511184112730494,0.4541286233051536,0.9933714549631428
