# Template generated 2025-10-22T07:20:42 — fill with real data; keep columns & units unchanged.
"['z', 'rho_bh_Msun_Mpc3', 'sigma_rho_bh', 'method', 'source_id', 'notes']"
0.0,,,,,
0.1,,,,,
0.2,,,,,
0.3,,,,,
0.5,,,,,
0.7,,,,,
1.0,,,,,
1.3,,,,,
1.7,,,,,
2.0,,,,,
2.5,,,,,
3.0,,,,,
3.8,,,,,
4.5,,,,,
5.0,,,,,
6.0,,,,,
