N,x_resid_ln_fs8
-3.91200542740206,-0.0001983364541559493
-3.9111418500450177,-0.00019849766676673097
-3.9102782726879752,-0.00019865819812068392
-3.9094146953309328,-0.00019881804911753287
-3.9085511179738908,-0.00019897722065699563
-3.9076875406168483,-0.00019913571363881083
-3.906823963259806,-0.00019929352895736718
-3.9059603859027634,-0.0001994506675097249
-3.905096808545721,-0.00019960713019027965
-3.9042332311886785,-0.00019976291789075562
-3.903369653831636,-0.00019991803150556237
-3.902506076474594,-0.00020007247192375954
-3.9016424991175516,-0.00020022624003796646
-3.900778921760509,-0.00020037933673280883
-3.8999153444034667,-0.00020053176289912267
-3.899051767046424,-0.00020068351942154755
-3.8981881896893817,-0.00020083460718470225
-3.8973246123323393,-0.00020098502707410065
-3.896461034975297,-0.00020113477997169699
-3.895597457618255,-0.0002012838667594663
-3.8947338802612124,-0.0002014322883166983
-3.89387030290417,-0.00020158004552357778
-3.8930067255471275,-0.0002017271392594014
-3.892143148190085,-0.00020187357039901793
-3.8912795708330425,-0.00020201933981907338
-3.890415993476,-0.00020216444839530473
-3.889552416118958,-0.000202308896999015
-3.8886888387619156,-0.0002024526865059481
-3.887825261404873,-0.00020259581778295926
-3.8869616840478307,-0.0002027382917040299
-3.8860981066907883,-0.0002028801091369034
-3.885234529333746,-0.00020302127094755373
-3.8843709519767033,-0.00020316177800550755
-3.883507374619661,-0.00020330163117317918
-3.882643797262619,-0.0002034408313183328
-3.8817802199055764,-0.00020357937930160636
-3.880916642548534,-0.00020371727598719747
-3.8800530651914915,-0.00020385452223397466
-3.879189487834449,-0.00020399111890257587
-3.8783259104774066,-0.00020412706685188353
-3.877462333120364,-0.00020426236693987104
-3.8765987557633217,-0.00020439702002185423
-3.8757351784062797,-0.00020453102695492525
-3.8748716010492372,-0.0002046643885908403
-3.8740080236921948,-0.00020479710578492905
-3.8731444463351523,-0.0002049291793880595
-3.87228086897811,-0.00020506061025110656
-3.8714172916210674,-0.000205191399224057
-3.870553714264025,-0.00020532154715511425
-3.869690136906983,-0.0002054510548925026
-3.8688265595499405,-0.00020557992328264912
-3.867962982192898,-0.00020570815316932334
-3.8670994048358556,-0.0002058357453971829
-3.866235827478813,-0.0002059627008099904
-3.8653722501217707,-0.00020608902024975284
-3.864508672764728,-0.00020621470455579188
-3.8636450954076857,-0.0002063397545692125
-3.8627815180506437,-0.0002064641711284551
-3.8619179406936013,-0.00020658795507106503
-3.861054363336559,-0.00020671110723283204
-3.8601907859795164,-0.00020683362844952508
-3.859327208622474,-0.00020695551955514369
-3.8584636312654315,-0.00020707678138279922
-3.857600053908389,-0.00020719741476293158
-3.8567364765513465,-0.00020731742053044233
-3.8558728991943045,-0.00020743679951221866
-3.855009321837262,-0.00020755555253604285
-3.8541457444802196,-0.00020767368043236173
-3.853282167123177,-0.00020779118402539792
-3.8524185897661347,-0.00020790806414205942
-3.8515550124090923,-0.00020802432160656886
-3.85069143505205,-0.00020813995724049128
-3.849827857695008,-0.00020825497186894443
-3.8489642803379653,-0.0002083693663099337
-3.848100702980923,-0.00020848314138592616
-3.8472371256238804,-0.00020859629791492723
-3.846373548266838,-0.00020870883671494922
-3.8455099709097955,-0.0002088207586022281
-3.844646393552753,-0.0002089320643929929
-3.8437828161957106,-0.0002090427549017171
-3.8429192388386686,-0.00020915283094196518
-3.842055661481626,-0.0002092622933273086
-3.8411920841245837,-0.0002093711428677661
-3.8403285067675412,-0.00020947938037512576
