N,x_resid_ln_fs8
-3.91200542740206,-0.0006247889406483381
-3.9111418500450177,-0.0006246832464264565
-3.9102782726879752,-0.0006245767485336742
-3.9094146953309328,-0.0006244694480473448
-3.9085511179738908,-0.0006243613460474862
-3.9076875406168483,-0.0006242524436105845
-3.906823963259806,-0.0006241427418113288
-3.9059603859027634,-0.0006240322417226385
-3.905096808545721,-0.0006239209444183144
-3.9042332311886785,-0.0006238088509686254
-3.903369653831636,-0.0006236959624438196
-3.902506076474594,-0.0006235822799105922
-3.9016424991175516,-0.0006234678044365477
-3.900778921760509,-0.000623352537086605
-3.8999153444034667,-0.0006232364789239067
-3.899051767046424,-0.0006231196310116163
-3.8981881896893817,-0.0006230019944111001
-3.8973246123323393,-0.0006228835701810598
-3.896461034975297,-0.0006227643593793297
-3.895597457618255,-0.0006226443630628353
-3.8947338802612124,-0.0006225235822876207
-3.89387030290417,-0.0006224020181070586
-3.8930067255471275,-0.0006222796715736542
-3.892143148190085,-0.0006221565437372276
-3.8912795708330425,-0.0006220326356502631
-3.890415993476,-0.0006219079483581608
-3.889552416118958,-0.0006217824829098523
-3.8886888387619156,-0.0006216562403498285
-3.887825261404873,-0.000621529221721713
-3.8869616840478307,-0.0006214014280699967
-3.8860981066907883,-0.0006212728604338413
-3.885234529333746,-0.0006211435198542059
-3.8843709519767033,-0.0006210134073693641
-3.883507374619661,-0.00062088252401582
-3.882643797262619,-0.0006207508708309592
-3.8817802199055764,-0.000620618448847747
-3.880916642548534,-0.0006204852591000162
-3.8800530651914915,-0.000620351302618935
-3.879189487834449,-0.0006202165804348042
-3.8783259104774066,-0.0006200810935752393
-3.877462333120364,-0.0006199448430705204
-3.8765987557633217,-0.0006198078299438428
-3.8757351784062797,-0.0006196700552219339
-3.8748716010492372,-0.0006195315199279683
-3.8740080236921948,-0.0006193922250815886
-3.8731444463351523,-0.0006192521717068578
-3.87228086897811,-0.0006191113608207399
-3.8714172916210674,-0.000618969793442857
