z,nz,b
0.001,4.645434567633741,1.2004
0.004372881355932204,9.0043665628143,1.201749152542373
0.0077457627118644075,11.453281408306976,1.2030983050847457
0.011118644067796613,15.498424871753096,1.2044474576271187
0.014491525423728814,28.220503386638452,1.2057966101694915
0.01786440677966102,26.41963007407559,1.2071457627118645
0.021237288135593224,26.255914318388058,1.2084949152542372
0.024610169491525426,26.15359197108335,1.20984406779661
0.02798305084745763,27.415567587841416,1.211193220338983
0.031355932203389836,23.738784574692243,1.2125423728813558
0.03472881355932204,19.448067477714822,1.2138915254237288
0.03810169491525424,17.09465348970654,1.2152406779661016
0.04147457627118645,12.612934677760332,1.2165898305084746
0.04484745762711865,9.952553647837926,1.2179389830508474
0.04822033898305085,8.820186337665826,1.2192881355932204
0.05159322033898306,7.59231817000933,1.2206372881355931
0.05496610169491526,5.757337408344901,1.2219864406779661
0.05833898305084746,4.202037729313339,1.223335593220339
0.06171186440677967,3.1992787257272015,1.224684745762712
0.06508474576271187,2.6467380502817788,1.2260338983050847
0.06845762711864407,1.9304816191488232,1.2273830508474577
0.07183050847457628,1.186939228734612,1.2287322033898305
0.07520338983050848,0.9140796359220577,1.2300813559322032
0.07857627118644069,0.6957919616720141,1.2314305084745762
0.0819491525423729,0.545719185625109,1.232779661016949
0.08532203389830509,0.3820034299375763,1.234128813559322
0.0886949152542373,0.23193065389067133,1.2354779661016948
0.0920677966101695,0.1432512862265911,1.2368271186440678
0.0954406779661017,0.12278681676564954,1.2381762711864406
0.09881355932203391,0.04092893892188318,1.2395254237288136
0.10218644067796612,0.034107449101569313,1.2408745762711864
0.10555932203389831,0.02046446946094159,1.2422237288135594
0.10893220338983052,0.02728595928125545,1.2435728813559321
0.11230508474576273,0.02728595928125545,1.2449220338983051
0.11567796610169492,0.0,1.246271186440678
0.11905084745762713,0.0,1.247620338983051
0.12242372881355934,0.0,1.2489694915254237
0.12579661016949154,0.02046446946094159,1.2503186440677965
0.12916949152542373,0.006821489820313863,1.2516677966101695
0.13254237288135595,0.0,1.2530169491525422
0.13591525423728815,0.0,1.2543661016949152
0.13928813559322034,0.0,1.255715254237288
0.14266101694915256,0.0,1.257064406779661
0.14603389830508476,0.006821489820313863,1.2584135593220338
0.14940677966101695,0.0,1.2597627118644068
0.15277966101694918,0.0,1.2611118644067796
0.15615254237288137,0.006821489820313863,1.2624610169491526
0.15952542372881356,0.0,1.2638101694915254
0.1628983050847458,0.0,1.2651593220338984
0.16627118644067798,0.0,1.2665084745762711
0.16964406779661018,0.006821489820313863,1.267857627118644
0.1730169491525424,0.0,1.269206779661017
0.1763898305084746,0.0,1.2705559322033897
0.1797627118644068,0.0,1.2719050847457627
0.183135593220339,0.0,1.2732542372881355
0.1865084745762712,0.0,1.2746033898305085
0.1898813559322034,0.0,1.2759525423728812
0.19325423728813562,0.0,1.2773016949152542
0.19662711864406782,0.0,1.278650847457627
0.2,0.0,1.28
