omega,omega0,epsilon,label
37.97169811320754,219.81132075471703,0.0,Dusty plasma (Thompson 1997 Fig.7)
37.97169811320754,219.81132075471703,0.0,Dusty plasma (Thompson 1997 Fig.7)
44.33962264150944,219.81132075471703,0.0,Dusty plasma (Thompson 1997 Fig.7)
50.707547169811335,219.81132075471703,0.0159963915663552,Dusty plasma (Thompson 1997 Fig.7)
57.07547169811323,219.81132075471703,0.0932314079090537,Dusty plasma (Thompson 1997 Fig.7)
62.7358490566038,219.81132075471703,0.0344874762982771,Dusty plasma (Thompson 1997 Fig.7)
62.7358490566038,219.81132075471703,0.1160620188844209,Dusty plasma (Thompson 1997 Fig.7)
69.81132075471697,219.81132075471703,0.0845523554221632,Dusty plasma (Thompson 1997 Fig.7)
75.47169811320754,219.81132075471703,0.1391063996254752,Dusty plasma (Thompson 1997 Fig.7)
75.47169811320754,219.81132075471703,0.17082983285342,Dusty plasma (Thompson 1997 Fig.7)
81.83962264150944,219.81132075471703,0.2344690920984282,Dusty plasma (Thompson 1997 Fig.7)
81.83962264150944,219.81132075471703,0.2118094969356105,Dusty plasma (Thompson 1997 Fig.7)
88.20754716981133,219.81132075471703,0.2346614848875463,Dusty plasma (Thompson 1997 Fig.7)
88.20754716981133,219.81132075471703,0.2527891610178004,Dusty plasma (Thompson 1997 Fig.7)
94.57547169811323,219.81132075471703,0.2529815538069188,Dusty plasma (Thompson 1997 Fig.7)
94.57547169811323,219.81132075471703,0.3164284202628085,Dusty plasma (Thompson 1997 Fig.7)
100.94339622641512,219.81132075471703,0.3619400033775622,Dusty plasma (Thompson 1997 Fig.7)
100.94339622641512,219.81132075471703,0.4117911127357614,Dusty plasma (Thompson 1997 Fig.7)
106.6037735849057,219.81132075471703,0.3394514240272939,Dusty plasma (Thompson 1997 Fig.7)
106.6037735849057,219.81132075471703,0.3757067762878022,Dusty plasma (Thompson 1997 Fig.7)
112.9716981132076,219.81132075471703,0.3894949261746112,Dusty plasma (Thompson 1997 Fig.7)
112.9716981132076,219.81132075471703,0.3623034119792298,Dusty plasma (Thompson 1997 Fig.7)
119.33962264150944,219.81132075471703,0.4621980234847462,Dusty plasma (Thompson 1997 Fig.7)
119.33962264150944,219.81132075471703,0.4440703473544922,Dusty plasma (Thompson 1997 Fig.7)
125.70754716981128,219.81132075471703,0.4623904162738647,Dusty plasma (Thompson 1997 Fig.7)
132.07547169811323,219.81132075471703,0.4625828090629827,Dusty plasma (Thompson 1997 Fig.7)
132.07547169811323,219.81132075471703,0.5305615945514358,Dusty plasma (Thompson 1997 Fig.7)
138.44339622641508,219.81132075471703,0.6576477202523336,Dusty plasma (Thompson 1997 Fig.7)
138.44339622641508,219.81132075471703,0.5307539873405542,Dusty plasma (Thompson 1997 Fig.7)
144.81132075471703,219.81132075471703,0.5717336514227442,Dusty plasma (Thompson 1997 Fig.7)
144.81132075471703,219.81132075471703,0.5943932465855621,Dusty plasma (Thompson 1997 Fig.7)
151.88679245283015,219.81132075471703,0.5900750973186853,Dusty plasma (Thompson 1997 Fig.7)
151.88679245283015,219.81132075471703,0.5492878260256135,Dusty plasma (Thompson 1997 Fig.7)
156.83962264150944,219.81132075471703,0.65820352164312,Dusty plasma (Thompson 1997 Fig.7)
157.5471698113207,219.81132075471703,0.5449269228056,Dusty plasma (Thompson 1997 Fig.7)
163.20754716981128,219.81132075471703,0.6583959144322381,Dusty plasma (Thompson 1997 Fig.7)
163.20754716981128,219.81132075471703,0.708247023790437,Dusty plasma (Thompson 1997 Fig.7)
169.57547169811323,219.81132075471703,0.6540563881887929,Dusty plasma (Thompson 1997 Fig.7)
169.57547169811323,219.81132075471703,0.7129713356121189,Dusty plasma (Thompson 1997 Fig.7)
175.94339622641508,219.81132075471703,0.7312914045314911,Dusty plasma (Thompson 1997 Fig.7)
175.94339622641508,219.81132075471703,0.7902063519548171,Dusty plasma (Thompson 1997 Fig.7)
182.31132075471703,219.81132075471703,0.7541433924834271,Dusty plasma (Thompson 1997 Fig.7)
182.31132075471703,219.81132075471703,0.7314837973206094,Dusty plasma (Thompson 1997 Fig.7)
188.67924528301887,219.81132075471703,0.731676190109728,Dusty plasma (Thompson 1997 Fig.7)
188.67924528301887,219.81132075471703,0.6772931617189655,Dusty plasma (Thompson 1997 Fig.7)
219.81132075471703,219.81132075471703,0.9229573764464192,Dusty plasma (Thompson 1997 Fig.7)
219.81132075471703,219.81132075471703,1.0,Dusty plasma (Thompson 1997 Fig.7)
