omega_hat,epsilon,label
0.24002145922746765,0.0,Dusty plasma (scaled/shifted)
0.24002145922746765,0.0,Dusty plasma (scaled/shifted)
0.27188841201716735,0.0,Dusty plasma (scaled/shifted)
0.3037553648068669,0.0159963915663552,Dusty plasma (scaled/shifted)
0.3356223175965666,0.0932314079090537,Dusty plasma (scaled/shifted)
0.3639484978540773,0.0344874762982771,Dusty plasma (scaled/shifted)
0.3639484978540773,0.1160620188844209,Dusty plasma (scaled/shifted)
0.3993562231759655,0.0845523554221632,Dusty plasma (scaled/shifted)
0.42768240343347624,0.1391063996254752,Dusty plasma (scaled/shifted)
0.42768240343347624,0.17082983285342,Dusty plasma (scaled/shifted)
0.45954935622317583,0.2344690920984282,Dusty plasma (scaled/shifted)
0.45954935622317583,0.2118094969356105,Dusty plasma (scaled/shifted)
0.4914163090128755,0.2346614848875463,Dusty plasma (scaled/shifted)
0.4914163090128755,0.2527891610178004,Dusty plasma (scaled/shifted)
0.5232832618025751,0.2529815538069188,Dusty plasma (scaled/shifted)
0.5232832618025751,0.3164284202628085,Dusty plasma (scaled/shifted)
0.5551502145922746,0.3619400033775622,Dusty plasma (scaled/shifted)
0.5551502145922746,0.4117911127357614,Dusty plasma (scaled/shifted)
0.5834763948497854,0.3394514240272939,Dusty plasma (scaled/shifted)
0.5834763948497854,0.3757067762878022,Dusty plasma (scaled/shifted)
0.6153433476394851,0.3894949261746112,Dusty plasma (scaled/shifted)
0.6153433476394851,0.3623034119792298,Dusty plasma (scaled/shifted)
0.6472103004291844,0.4621980234847462,Dusty plasma (scaled/shifted)
0.6472103004291844,0.4440703473544922,Dusty plasma (scaled/shifted)
0.6790772532188838,0.4623904162738647,Dusty plasma (scaled/shifted)
0.7109442060085835,0.4625828090629827,Dusty plasma (scaled/shifted)
0.7109442060085835,0.5305615945514358,Dusty plasma (scaled/shifted)
0.7428111587982831,0.6576477202523336,Dusty plasma (scaled/shifted)
0.7428111587982831,0.5307539873405542,Dusty plasma (scaled/shifted)
0.7746781115879829,0.5717336514227442,Dusty plasma (scaled/shifted)
0.7746781115879829,0.5943932465855621,Dusty plasma (scaled/shifted)
0.8100858369098708,0.5900750973186853,Dusty plasma (scaled/shifted)
0.8100858369098708,0.5492878260256135,Dusty plasma (scaled/shifted)
0.8348712446351929,0.65820352164312,Dusty plasma (scaled/shifted)
0.8384120171673816,0.5449269228056,Dusty plasma (scaled/shifted)
0.8667381974248923,0.6583959144322381,Dusty plasma (scaled/shifted)
0.8667381974248923,0.708247023790437,Dusty plasma (scaled/shifted)
0.8986051502145923,0.6540563881887929,Dusty plasma (scaled/shifted)
0.8986051502145923,0.7129713356121189,Dusty plasma (scaled/shifted)
0.9304721030042916,0.7312914045314911,Dusty plasma (scaled/shifted)
0.9304721030042916,0.7902063519548171,Dusty plasma (scaled/shifted)
0.9623390557939915,0.7541433924834271,Dusty plasma (scaled/shifted)
0.9623390557939915,0.7314837973206094,Dusty plasma (scaled/shifted)
0.9942060085836908,0.731676190109728,Dusty plasma (scaled/shifted)
0.9942060085836908,0.6772931617189655,Dusty plasma (scaled/shifted)
1.1500000000000001,0.9229573764464192,Dusty plasma (scaled/shifted)
1.1500000000000001,1.0,Dusty plasma (scaled/shifted)
