z,log10_Lbol_erg_s,phi_dex_Mpc3
2.500000,46.357000,2.533920e-07
2.500000,46.571000,9.657659e-08
2.500000,46.786000,3.112244e-08
2.500000,47.000000,9.184293e-09
3.000000,42.000000,1.661454e-04
3.000000,42.286000,1.211020e-04
3.000000,42.571000,9.230100e-05
3.000000,42.857000,7.356564e-05
3.000000,43.143000,6.083046e-05
3.000000,43.429000,5.066591e-05
3.000000,43.714000,3.935743e-05
3.000000,44.000000,8.709498e-06
3.000000,44.000000,2.515807e-05
3.000000,44.214000,6.477540e-06
3.000000,44.286000,1.243529e-05
3.000000,44.429000,4.817343e-06
3.000000,44.571000,5.182725e-06
3.000000,44.643000,3.582225e-06
3.000000,44.857000,2.662919e-06
3.000000,44.857000,1.024760e-06
3.000000,45.071000,1.977823e-06
3.000000,45.143000,1.755931e-07
3.000000,45.286000,1.465593e-06
3.000000,45.429000,2.970557e-08
3.000000,45.500000,1.079371e-06
3.000000,45.714000,7.822491e-07
3.000000,45.714000,5.004754e-09
3.000000,45.929000,5.444369e-07
3.000000,46.000000,8.420929e-10
3.000000,46.143000,3.454174e-07
3.000000,46.357000,1.842596e-07
3.000000,46.571000,7.792811e-08
3.000000,46.786000,2.686763e-08
3.000000,47.000000,8.192711e-09
4.000000,42.000000,1.188840e-04
4.000000,42.286000,8.665354e-05
4.000000,42.571000,6.604522e-05
4.000000,42.857000,5.263929e-05
4.000000,43.143000,4.352673e-05
4.000000,43.429000,3.625357e-05
4.000000,43.714000,2.816189e-05
4.000000,44.000000,8.709498e-06
4.000000,44.000000,1.800165e-05
4.000000,44.214000,6.477540e-06
4.000000,44.286000,8.897968e-06
4.000000,44.429000,4.817343e-06
4.000000,44.571000,3.708456e-06
4.000000,44.643000,3.582225e-06
4.000000,44.857000,2.662919e-06
4.000000,44.857000,7.332585e-07
4.000000,45.071000,1.977823e-06
4.000000,45.143000,1.256442e-07
4.000000,45.286000,1.465593e-06
4.000000,45.429000,2.125557e-08
4.000000,45.500000,1.079371e-06
4.000000,45.714000,7.822491e-07
4.000000,45.714000,3.581111e-09
4.000000,45.929000,5.444369e-07
4.000000,46.000000,6.025526e-10
4.000000,46.143000,3.454174e-07
4.000000,46.357000,1.842596e-07
4.000000,46.571000,7.792811e-08
4.000000,46.786000,2.686763e-08
4.000000,47.000000,8.192711e-09
5.000000,42.000000,9.043810e-05
5.000000,42.286000,6.591958e-05
5.000000,42.571000,5.024230e-05
5.000000,42.857000,4.004406e-05
5.000000,43.143000,3.311191e-05
5.000000,43.429000,2.757903e-05
5.000000,43.714000,2.142347e-05
5.000000,44.000000,8.709498e-06
5.000000,44.000000,1.369432e-05
5.000000,44.214000,6.477540e-06
5.000000,44.286000,6.768913e-06
5.000000,44.429000,4.817343e-06
5.000000,44.571000,2.821118e-06
5.000000,44.643000,3.582225e-06
5.000000,44.857000,2.662919e-06
5.000000,44.857000,5.578086e-07
5.000000,45.071000,1.977823e-06
5.000000,45.143000,9.558076e-08
5.000000,45.286000,1.465593e-06
5.000000,45.429000,1.616966e-08
5.000000,45.500000,1.079371e-06
5.000000,45.714000,7.822491e-07
5.000000,45.714000,2.724243e-09
5.000000,45.929000,5.444369e-07
5.000000,46.000000,4.583773e-10
5.000000,46.143000,3.454174e-07
5.000000,46.357000,1.842596e-07
5.000000,46.571000,7.792811e-08
5.000000,46.786000,2.686763e-08
5.000000,47.000000,8.192711e-09
