z,fs8_pred,fs8_fit,fs8_pred_lsfit,fs8_lcdm_repaired,fs8_model_repaired,R_res
0.746453467258259,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.7368384482028456,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.7272763641916054,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.7177669237930928,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.7083098371803251,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6989048161219482,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6895515739734526,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6802498256684364,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6709992877099189,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6617996781616973,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6526507166397575,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6435521243037245,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6345036238483677,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6255049394951473,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6165557969838091,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.6076559235640266,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.5988050479870877,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.5900029004976268,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.5812492128254052,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.5725437181771325,0.0,0.4511184112730494,0.0,0.4511184112730494,0.4511184112730494,1.0
0.5638861512283373,5.8961294221926625e-08,0.4511184112730494,0.4511184112730494,0.4511184112730494,0.4511184112730494,1.0
0.5552762481152793,2.930935331375119e-07,0.4511184112730494,2.2424862067262614,0.4511184112730494,2.2424862067262614,0.20116886780392898
0.5467137464269081,2.814649051492205e-07,0.4511184112730494,2.1535144795518524,0.4511184112730494,2.1535144795518524,0.20948009198755302
0.5381983851968652,2.697778805198325e-07,0.4511184112730494,2.064095954180374,0.4511184112730494,2.064095954180374,0.2185549612455797
0.5297299048955306,2.6365893148364264e-07,0.4511184112730494,2.017279299215562,0.4511184112730494,2.017279299215562,0.22362714545698806
0.5213080474221121,2.592804010440263e-07,0.4511184112730494,1.9837787507337772,0.4511184112730494,1.9837787507337772,0.22740359080173927
0.5129325560967801,2.5564424568285655e-07,0.4511184112730494,1.955958183846308,0.4511184112730494,1.955958183846308,0.23063806527087627
0.5046031756528435,2.523920082638863e-07,0.4511184112730494,1.9310750092672968,0.4511184112730494,1.9310750092672968,0.2336099887928311
0.4963196522289708,2.4936815767427544e-07,0.4511184112730494,1.907939243814492,0.4511184112730494,1.907939243814492,0.2364427550487092
0.4880817333614513,2.464959770076449e-07,0.4511184112730494,1.885963919216924,0.4511184112730494,1.885963919216924,0.23919779518388637
0.4798891679765029,2.437338765243045e-07,0.4511184112730494,1.864830828461978,0.4511184112730494,1.864830828461978,0.2419084907798902
0.4717417063826177,2.4105757993078483e-07,0.4511184112730494,1.84435423134354,0.4511184112730494,1.84435423134354,0.24459423445160386
0.4636391002629534,2.384520553262593e-07,0.4511184112730494,1.8244191173736493,0.4511184112730494,1.8244191173736493,0.24726687359122773
0.4555811026677643,2.359075274297885e-07,0.4511184112730494,1.8049506949578296,0.4511184112730494,1.8049506949578296,0.2499339248065107
0.4475674680068753,2.334173362123445e-07,0.4511184112730494,1.785898007587177,0.4511184112730494,1.785898007587177,0.2526003217185562
0.4395979520421968,2.3097676007932643e-07,0.4511184112730494,1.767224929897023,0.4511184112730494,1.767224929897023,0.25526937948942147
0.4316723118802805,1.6776904877035816e-07,0.4511184112730494,1.283616781836674,0.4511184112730494,1.283616781836674,0.3514432170538958
0.423790305964917,5.0978101965557954e-08,0.4511184112730494,0.390038255976169,0.4511184112730494,0.390038255976169,1.15660042152535
