M_Msun_hinv,sigma_LCDM,sigma_RES,dn_dlnM_LCDM_Mpch3,dn_dlnM_RES_Mpch3
100000000.0,0.0037240801231861343,0.0012309147603857867,,
105538610.30365229,0.0037226924575562903,0.0012308916641799613,,
111383982.64826183,0.0037212556611698555,0.0012308677246502015,,
117553107.38783674,0.0037197680569956626,0.0012308429110730202,,
124063915.90588343,0.0037182279154170618,0.0012308171916090875,,
130935332.73536122,0.0037166334529379853,0.0012307905332647985,,
138187330.56536335,0.0037149828308856436,0.0012307629018515006,,
145840988.2943986,0.003713274154112217,0.001230734261941622,,
153918552.29902053,0.0037115054696998883,0.001230704576824207,,
162443501.09588653,0.0037096747656720605,0.0012306738084591632,,
171440613.58519685,0.003707779969715021,0.001230641917430559,,
180936041.07387128,0.003705818947912793,0.0012306088628950826,,
190957383.28781006,0.0037037895035026513,0.001230574602534109,,
201533768.59417352,0.0037016893756524685,0.0012305390924984506,,
212695938.6668692,0.0036995162382686955,0.0012305022873553924,,
224476337.84132236,0.0036972676988384504,0.0012304641400311062,,
236909207.4182632,0.0036949412973135637,0.001230424601752899,,
250030685.19063213,0.0036925345050427827,0.0012303836219888747,,
263878910.48289293,0.0036900447237592023,0.001230341148384759,,
278494135.008065,0.003687469284632197,0.0012302971267002098,,
293918839.86468905,0.0036848054473906174,0.0012302515007405156,,
310197859.01381,0.0036820503995288996,0.001230204212289378,,
327378509.5948577,0.00367920125560325,0.0012301552010353706,,
345510729.4592218,0.0036762550566313413,0.0012301044044993813,,
364647222.32127446,0.0036732087696049066,0.0012300517579573276,,
384843610.94874257,0.0036700592871288414,0.0012299971943619563,,
406158598.83769715,0.0036668034271985232,0.0012299406442598322,,
428654140.84209335,0.003663437933131064,0.0012298820357080676,,
452395623.25380576,0.003659959473663634,0.0012298212941867824,,
477452053.8566131,0.00365636464323527,0.0012297583425079724,,
503896262.506515,0.003652649962469562,0.0012296931007234682,,
531805112.8214197,0.0036488118788747504,0.0012296254860279853,,
561259725.5954965,0.0036448467677807415,0.0012295554126596816,,
592345714.5875794,0.00364075093353279,0.0012294827917975618,,
625153435.3689698,0.003636520610962349,0.0012294075314553115,,
659778247.9539547,0.0036321519671573313,0.001229329536371485,,
696320793.976389,0.0036276411035547594,0.0012292487078967465,,
734887289.2180388,0.003622984058379748,0.0012291649438768866,,
775589832.3389002,0.003618176809456078,0.001229078138532099,,
818546730.706902,0.003613215277414815,0.001228988182332997,,
863882844.2740436,0.0036080953293278623,0.0012288949618720036,,
911729948.4984902,0.003602812782794978,0.0012287983597310801,,
962227117.3675154,0.0035973634105134055,0.0012286982543452262,,
1015521127.634569,0.0035917429453600665,0.0012285945198617359,,
1071766885.4455035,0.0035859470860170974,0.0012284870259948798,,
1131127876.5939212,0.0035799715031724004,0.0012283756378765514,,
1193776641.7144358,0.0035738118463268676,0.0012282602159021663,,
1259895277.7950258,0.0035674637512405297,0.001228140615571542,,
1329675967.46621,0.0035609228480503762,0.0012280166873257928,,
1403321537.6054819,0.003554184770091594,0.0012278882763786323,,
1481046048.8806767,0.0035472451634545117,0.0012277552225431752,,
1563075417.9458175,0.0035400996973081957,0.001227617360053411,,
1649648074.0980208,0.0035327440750209547,0.0012274745173809,,
1741015652.3040154,0.0035251740461062046,0.0012273265170457967,,
1837443724.6107247,0.003517385419020444,0.0012271731754227367,,
1939212572.065827,0.0035093740748377467,0.0012270143025417167,,
2046617999.391994,0.0035011359818213866,0.0012268497018827742,,
2159972194.7827215,0.0034926672109105075,0.001226679170165712,,
2279604637.3189816,0.0034839639521344235,0.0012265024971338542,,
2405863054.644067,0.0034750225319624983,0.0012263194653326288,,
2539114433.680347,0.003465839431590594,0.001226129849881521,,
2679746087.3256893,0.003456411306159215,0.0012259334182413836,,
2828166780.230029,0.003446735004888766,0.0012257299299750569,,
2984807916.924321,0.0034368075921093456,0.0012255191365027553,,
3150124795.7553215,0.003426626369150997,0.0012253007808512057,,
3324597932.270945,0.0034161888970491348,0.0012250745973972795,,
3508734455.9027147,0.0034054930200061737,0.001224840311605648,,
3703069584.005141,0.0033945368895359697,0.0012245976397607602,,
3908168177.536264,0.0033833189892012593,0.0012243462886930515,,
4124626382.901348,0.0033718381598367105,0.0012240859554995833,,
4353073364.731883,0.003360093625130568,0.0012238163272589135,,
4594173134.636467,0.0033480850174173148,0.001223537080740896,,
4848626481.239088,0.003335812403510689,0.0012232478821107156,,
5117173007.11461,0.0033232763103830426,0.0012229483866282658,,
5400593278.542374,0.0033104777504709203,0.0012226382383421382,,
