m_exponent,mode,frequency_hz
0,1,1757.3069908800546
0,2,4843.908439008439
0,3,9495.331937700641
0,4,15694.6258099513
2,1,2940.2229926226287
2,2,6329.834660041199
2,3,10396.849137471836
2,4,15069.27343467939
3,1,24.401741824336938
3,2,73.1939191602269
3,3,125.79641550698469
3,4,199.97007640665674
4,1,5.2061031526381445
4,2,14.418960366648578
4,3,27.940869788024933
4,4,44.59182087016138
