a,D_LCDM,D_visc_k0_k=0.050000hMpc,D_visc_k1_k=0.240000hMpc,D_visc_k2_k=0.430000hMpc,D_visc_k3_k=0.620000hMpc,D_visc_k4_k=0.810000hMpc,D_visc_k5_k=1.000000hMpc
9.15000000e-01,9.53170108e-01,9.53402007e-01,9.58115888e-01,9.66452360e-01,9.74744331e-01,9.81221650e-01,9.85853446e-01
9.20000000e-01,9.56111783e-01,9.56329220e-01,9.60748718e-01,9.68562995e-01,9.76334004e-01,9.82403624e-01,9.86743628e-01
9.25000000e-01,9.59029209e-01,9.59232290e-01,9.63359588e-01,9.70655762e-01,9.77910105e-01,9.83575493e-01,9.87626225e-01
9.30000000e-01,9.61922562e-01,9.62111389e-01,9.65948663e-01,9.72730803e-01,9.79472749e-01,9.84737347e-01,9.88501304e-01
9.35000000e-01,9.64792015e-01,9.64966694e-01,9.68516110e-01,9.74788263e-01,9.81022051e-01,9.85889272e-01,9.89368933e-01
9.40000000e-01,9.67637745e-01,9.67798377e-01,9.71062093e-01,9.76828285e-01,9.82558124e-01,9.87031357e-01,9.90229178e-01
9.45000000e-01,9.70459926e-01,9.70606615e-01,9.73586780e-01,9.78851011e-01,9.84081082e-01,9.88163689e-01,9.91082107e-01
9.50000000e-01,9.73258734e-01,9.73391583e-01,9.76090335e-01,9.80856585e-01,9.85591038e-01,9.89286353e-01,9.91927784e-01
9.55000000e-01,9.76034345e-01,9.76153456e-01,9.78572924e-01,9.82845149e-01,9.87088105e-01,9.90399436e-01,9.92766277e-01
9.60000000e-01,9.78786934e-01,9.78892410e-01,9.81034712e-01,9.84816844e-01,9.88572394e-01,9.91503024e-01,9.93597649e-01
9.65000000e-01,9.81516679e-01,9.81608620e-01,9.83475866e-01,9.86771811e-01,9.90044018e-01,9.92597202e-01,9.94421966e-01
9.70000000e-01,9.84223754e-01,9.84302262e-01,9.85896551e-01,9.88710193e-01,9.91503087e-01,9.93682054e-01,9.95239292e-01
9.75000000e-01,9.86908336e-01,9.86973511e-01,9.88296930e-01,9.90632129e-01,9.92949712e-01,9.94757664e-01,9.96049692e-01
9.80000000e-01,9.89570601e-01,9.89622543e-01,9.90677169e-01,9.92537759e-01,9.94384002e-01,9.95824116e-01,9.96853229e-01
9.85000000e-01,9.92210725e-01,9.92249533e-01,9.93037432e-01,9.94427222e-01,9.95806068e-01,9.96881494e-01,9.97649965e-01
9.90000000e-01,9.94828882e-01,9.94854656e-01,9.95377882e-01,9.96300658e-01,9.97216017e-01,9.97929879e-01,9.98439965e-01
9.95000000e-01,9.97425249e-01,9.97438087e-01,9.97698684e-01,9.98158205e-01,9.98613959e-01,9.98969354e-01,9.99223289e-01
1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
