a,D_LCDM,D_visc_k0_k=0.050000hMpc,D_visc_k1_k=0.240000hMpc,D_visc_k2_k=0.430000hMpc,D_visc_k3_k=0.620000hMpc,D_visc_k4_k=0.810000hMpc,D_visc_k5_k=1.000000hMpc
2.15000000e-01,2.74828223e-01,2.77445493e-01,3.33777957e-01,4.45026387e-01,5.69115363e-01,6.73320101e-01,7.50968872e-01
2.20000000e-01,2.81137750e-01,2.83750763e-01,3.39913658e-01,4.50573417e-01,5.73685316e-01,6.76906986e-01,7.53772326e-01
2.25000000e-01,2.87439638e-01,2.90047705e-01,3.46029136e-01,4.56084583e-01,5.78216236e-01,6.80460649e-01,7.56547736e-01
2.30000000e-01,2.93733565e-01,2.96336020e-01,3.52124550e-01,4.61560900e-01,5.82709437e-01,6.83982031e-01,7.59295888e-01
2.35000000e-01,3.00019201e-01,3.02615405e-01,3.58200032e-01,4.67003289e-01,5.87166115e-01,6.87472005e-01,7.62017517e-01
2.40000000e-01,3.06296213e-01,3.08885548e-01,3.64255690e-01,4.72412590e-01,5.91587354e-01,6.90931385e-01,7.64713312e-01
2.45000000e-01,3.12564260e-01,3.15146135e-01,3.70291603e-01,4.77789565e-01,5.95974146e-01,6.94360928e-01,7.67383922e-01
2.50000000e-01,3.18823001e-01,3.21396842e-01,3.76307830e-01,4.83134913e-01,6.00327397e-01,6.97761346e-01,7.70029956e-01
2.55000000e-01,3.25072088e-01,3.27637343e-01,3.82304408e-01,4.88449267e-01,6.04647940e-01,7.01133302e-01,7.72651988e-01
2.60000000e-01,3.31311169e-01,3.33867306e-01,3.88281354e-01,4.93733209e-01,6.08936542e-01,7.04477420e-01,7.75250560e-01
2.65000000e-01,3.37539889e-01,3.40086394e-01,3.94238666e-01,4.98987269e-01,6.13193908e-01,7.07794284e-01,7.77826181e-01
2.70000000e-01,3.43757888e-01,3.46294268e-01,4.00176327e-01,5.04211930e-01,6.17420690e-01,7.11084446e-01,7.80379335e-01
2.75000000e-01,3.49964805e-01,3.52490581e-01,4.06094300e-01,5.09407634e-01,6.21617493e-01,7.14348421e-01,7.82910478e-01
2.80000000e-01,3.56160275e-01,3.58674986e-01,4.11992538e-01,5.14574784e-01,6.25784876e-01,7.17586697e-01,7.85420039e-01
2.85000000e-01,3.62343929e-01,3.64847131e-01,4.17870975e-01,5.19713748e-01,6.29923358e-01,7.20799733e-01,7.87908429e-01
2.90000000e-01,3.68515397e-01,3.71006661e-01,4.23729535e-01,5.24824862e-01,6.34033421e-01,7.23987963e-01,7.90376032e-01
2.95000000e-01,3.74674306e-01,3.77153218e-01,4.29568129e-01,5.29908430e-01,6.38115513e-01,7.27151794e-01,7.92823215e-01
3.00000000e-01,3.80820282e-01,3.83286442e-01,4.35386657e-01,5.34964731e-01,6.42170053e-01,7.30291613e-01,7.95250326e-01
3.05000000e-01,3.86952947e-01,3.89405971e-01,4.41185009e-01,5.39994015e-01,6.46197429e-01,7.33407784e-01,7.97657694e-01
3.10000000e-01,3.93071924e-01,3.95511441e-01,4.46963063e-01,5.44996513e-01,6.50198003e-01,7.36500652e-01,8.00045632e-01
3.15000000e-01,3.99176835e-01,4.01602484e-01,4.52720692e-01,5.49972429e-01,6.54172115e-01,7.39570543e-01,8.02414438e-01
3.20000000e-01,4.05267298e-01,4.07678736e-01,4.58457757e-01,5.54921952e-01,6.58120079e-01,7.42617767e-01,8.04764395e-01
3.25000000e-01,4.11342933e-01,4.13739827e-01,4.64174113e-01,5.59845247e-01,6.62042191e-01,7.45642615e-01,8.07095771e-01
3.30000000e-01,4.17403359e-01,4.19785388e-01,4.69869608e-01,5.64742466e-01,6.65938726e-01,7.48645365e-01,8.09408822e-01
3.35000000e-01,4.23448196e-01,4.25815050e-01,4.75544084e-01,5.69613742e-01,6.69809943e-01,7.51626279e-01,8.11703791e-01
3.40000000e-01,4.29477061e-01,4.31828444e-01,4.81197377e-01,5.74459195e-01,6.73656083e-01,7.54585608e-01,8.13980913e-01
3.45000000e-01,4.35489576e-01,4.37825200e-01,4.86829316e-01,5.79278931e-01,6.77477370e-01,7.57523587e-01,8.16240406e-01
3.50000000e-01,4.41485360e-01,4.43804950e-01,4.92439729e-01,5.84073042e-01,6.81274017e-01,7.60440441e-01,8.18482484e-01
3.55000000e-01,4.47464035e-01,4.49767326e-01,4.98028437e-01,5.88841610e-01,6.85046222e-01,7.63336384e-01,8.20707347e-01
3.60000000e-01,4.53425223e-01,4.55711961e-01,5.03595257e-01,5.93584704e-01,6.88794169e-01,7.66211619e-01,8.22915188e-01
3.65000000e-01,4.59368549e-01,4.61638488e-01,5.09140006e-01,5.98302385e-01,6.92518033e-01,7.69066340e-01,8.25106191e-01
3.70000000e-01,4.65293638e-01,4.67546545e-01,5.14662495e-01,6.02994705e-01,6.96217977e-01,7.71900730e-01,8.27280533e-01
3.75000000e-01,4.71200121e-01,4.73435769e-01,5.20162533e-01,6.07661705e-01,6.99894155e-01,7.74714965e-01,8.29438382e-01
3.80000000e-01,4.77087626e-01,4.79305800e-01,5.25639930e-01,6.12303420e-01,7.03546710e-01,7.77509213e-01,8.31579900e-01
3.85000000e-01,4.82955787e-01,4.85156280e-01,5.31094492e-01,6.16919879e-01,7.07175777e-01,7.80283633e-01,8.33705242e-01
3.90000000e-01,4.88804241e-01,4.90986855e-01,5.36526023e-01,6.21511103e-01,7.10781485e-01,7.83038377e-01,8.35814556e-01
3.95000000e-01,4.94632628e-01,4.96797173e-01,5.41934331e-01,6.26077106e-01,7.14363952e-01,7.85773593e-01,8.37907986e-01
4.00000000e-01,5.00440589e-01,5.02586886e-01,5.47319218e-01,6.30617900e-01,7.17923293e-01,7.88489419e-01,8.39985668e-01
4.05000000e-01,5.06227772e-01,5.08355648e-01,5.52680491e-01,6.35133489e-01,7.21459614e-01,7.91185989e-01,8.42047735e-01
4.10000000e-01,5.11993828e-01,5.14103117e-01,5.58017953e-01,6.39623876e-01,7.24973017e-01,7.93863432e-01,8.44094314e-01
4.15000000e-01,5.17738410e-01,5.19828958e-01,5.63331412e-01,6.44089056e-01,7.28463596e-01,7.96521871e-01,8.46125528e-01
4.20000000e-01,5.23461179e-01,5.25532835e-01,5.68620675e-01,6.48529025e-01,7.31931443e-01,7.99161425e-01,8.48141494e-01
4.25000000e-01,5.29161797e-01,5.31214422e-01,5.73885549e-01,6.52943773e-01,7.35376644e-01,8.01782209e-01,8.50142329e-01
4.30000000e-01,5.34839934e-01,5.36873394e-01,5.79125846e-01,6.57333290e-01,7.38799282e-01,8.04384332e-01,8.52128141e-01
4.35000000e-01,5.40495262e-01,5.42509431e-01,5.84341377e-01,6.61697561e-01,7.42199434e-01,8.06967900e-01,8.54099039e-01
4.40000000e-01,5.46127462e-01,5.48122220e-01,5.89531958e-01,6.66036572e-01,7.45577177e-01,8.09533018e-01,8.56055126e-01
4.45000000e-01,5.51736217e-01,5.53711452e-01,5.94697405e-01,6.70350307e-01,7.48932581e-01,8.12079783e-01,8.57996503e-01
4.50000000e-01,5.57321217e-01,5.59276823e-01,5.99837537e-01,6.74638748e-01,7.52265717e-01,8.14608294e-01,8.59923268e-01
4.55000000e-01,5.62882158e-01,5.64818038e-01,6.04952179e-01,6.78901876e-01,7.55576652e-01,8.17118644e-01,8.61835517e-01
4.60000000e-01,5.68418743e-01,5.70334803e-01,6.10041156e-01,6.83139673e-01,7.58865450e-01,8.19610925e-01,8.63733342e-01
4.65000000e-01,5.73930679e-01,5.75826834e-01,6.15104298e-01,6.87352121e-01,7.62132174e-01,8.22085225e-01,8.65616834e-01
4.70000000e-01,5.79417681e-01,5.81293851e-01,6.20141438e-01,6.91539201e-01,7.65376886e-01,8.24541632e-01,8.67486082e-01
4.75000000e-01,5.84879470e-01,5.86735582e-01,6.25152414e-01,6.95700894e-01,7.68599645e-01,8.26980231e-01,8.69341172e-01
4.80000000e-01,5.90315773e-01,5.92151760e-01,6.30137066e-01,6.99837183e-01,7.71800511e-01,8.29401106e-01,8.71182189e-01
4.85000000e-01,5.95726325e-01,5.97542124e-01,6.35095240e-01,7.03948051e-01,7.74979541e-01,8.31804338e-01,8.73009216e-01
4.90000000e-01,6.01110868e-01,6.02906424e-01,6.40026787e-01,7.08033483e-01,7.78136792e-01,8.34190008e-01,8.74822334e-01
4.95000000e-01,6.06469151e-01,6.08244412e-01,6.44931560e-01,7.12093464e-01,7.81272322e-01,8.36558196e-01,8.76621625e-01
5.00000000e-01,6.11800927e-01,6.13555850e-01,6.49809420e-01,7.16127981e-01,7.84386185e-01,8.38908979e-01,8.78407166e-01
5.05000000e-01,6.17105962e-01,6.18840505e-01,6.54660230e-01,7.20137023e-01,7.87478439e-01,8.41242436e-01,8.80179036e-01
5.10000000e-01,6.22384025e-01,6.24098155e-01,6.59483859e-01,7.24120580e-01,7.90549138e-01,8.43558642e-01,8.81937312e-01
5.15000000e-01,6.27634893e-01,6.29328580e-01,6.64280182e-01,7.28078645e-01,7.93598340e-01,8.45857674e-01,8.83682069e-01
5.20000000e-01,6.32858353e-01,6.34531572e-01,6.69049078e-01,7.32011212e-01,7.96626100e-01,8.48139607e-01,8.85413382e-01
5.25000000e-01,6.38054196e-01,6.39706929e-01,6.73790431e-01,7.35918278e-01,7.99632475e-01,8.50404515e-01,8.87131326e-01
5.30000000e-01,6.43222224e-01,6.44854455e-01,6.78504132e-01,7.39799842e-01,8.02617522e-01,8.52652475e-01,8.88835974e-01
5.35000000e-01,6.48362245e-01,6.49973963e-01,6.83190077e-01,7.43655905e-01,8.05581299e-01,8.54883559e-01,8.90527399e-01
5.40000000e-01,6.53474076e-01,6.55065275e-01,6.87848166e-01,7.47486472e-01,8.08523863e-01,8.57097842e-01,8.92205674e-01
5.45000000e-01,6.58557539e-01,6.60128218e-01,6.92478307e-01,7.51291549e-01,8.11445276e-01,8.59295398e-01,8.93870870e-01
