tau,omega,sigma_ratio_1e9,sigma_ratio_1e10,sigma_ratio_1e11,score
0.05,0.1443478260869565,0.637041348776408,0.7728636929250674,0.9006564099126436,0.7277177288676333
0.05608695652173913,0.12347826086956522,0.6373225685239632,0.7729470280197006,0.900410313804663,0.728180331235422
0.05304347826086957,0.13391304347826086,0.6374125812639466,0.7731312179261778,0.900666321526433,0.7282712730490545
0.05,0.1408695652173913,0.63875248400432,0.7745961999794966,0.9017696548119061,0.7300849965840145
0.05608695652173913,0.12,0.6387427556189219,0.77438781321852,0.9013458615840488,0.7301412940798614
0.05304347826086957,0.13043478260869565,0.6389796096698785,0.7747182931494018,0.9016905638250166,0.7304371329619513
0.05,0.1373913043478261,0.6404420997466792,0.7763021081628861,0.902860159271985,0.7324234958247071
0.05304347826086957,0.12695652173913044,0.6405215544651764,0.7762762847008142,0.9026915302376176,0.7325691886369377
0.05304347826086957,0.12347826086956522,0.6420372734371429,0.7778042659796867,0.9036689370748007,0.7346657910855232
0.05,0.13391304347826086,0.6421089164246314,0.7779803814030131,0.9039276106312117,0.7347313780911346
0.05304347826086957,0.12,0.6435256359833548,0.7793013239579935,0.9046225069183755,0.7367253092947625
0.05,0.13043478260869565,0.643751660967422,0.779629994725841,0.9049717023217749,0.7370068061146232
0.05,0.12695652173913044,0.6453690684423017,0.7812499352625785,0.9059921339929177,0.7392479561296477
0.05,0.12347826086956522,0.6469598836805569,0.7828392032458682,0.906988611631873,0.7414530201367281
0.05,0.12,0.6485228628969493,0.7843968129939647,0.9079608476824761,0.7436202081514863
0.05304347826086957,0.1373913043478261,0.6358216216712136,0.7715159983280424,0.8996190931906851,0.7641639548369915
0.05,0.14782608695652175,0.635309978518855,0.771105633153255,0.8995207432043134,0.7732492296926379
0.05608695652173913,0.12695652173913044,0.6358755489892891,0.7714760405910054,0.8994513226788922,0.7810508481743328
0.05304347826086957,0.1408695652173913,0.6342078921195512,0.7698735854602625,0.898549174711838,0.8689273434020142
0.05608695652173913,0.13043478260869565,0.6344027287881662,0.7699756988241578,0.8984691560302713,0.87723553692281
0.05,0.15130434782608695,0.6335596609352189,0.7693230758738929,0.8983629791579142,0.8866064086765703
0.059130434782608696,0.12,0.6341575993287366,0.7696444645305096,0.8981288773704139,0.9109565487734972
0.05608695652173913,0.13391304347826086,0.6329051513136982,0.7684468636657752,0.8974640877726385,0.9756771347295706
0.05304347826086957,0.1443478260869565,0.6325725612280052,0.7682049413383663,0.8974568679128418,0.9759007949242579
0.059130434782608696,0.12347826086956522,0.6327999218021108,0.7682560982041223,0.8972107410484671,1.000899715174055
0.05,0.1547826086956522,0.6317916853517116,0.7675170843204556,0.8971834479556627,1.0021171248319276
0.05608695652173913,0.1373913043478261,0.6313838703626939,0.7668904083336994,0.8964363978043856,1.0763491768555375
0.05304347826086957,0.14782608695652175,0.6309168035903938,0.7665110379807337,0.8963424804269944,1.0850552472639743
0.059130434782608696,0.12695652173913044,0.6314159624921502,0.7668382341119093,0.8962695443133907,1.093113522874726
0.05,0.1582608695652174,0.6300073410994279,0.7656887287114807,0.895982485359282,1.1197496725896212
0.05608695652173913,0.1408695652173913,0.629839948910896,0.7653072175227749,0.8953863719004919,1.1792246251774086
0.059130434782608696,0.13043478260869565,0.6300066664259084,0.7653916615470661,0.8953055458914432,1.1875734674188176
0.05304347826086957,0.15130434782608695,0.6292417983576138,0.7647928564929009,0.8952063255772749,1.1963610773865228
0.06217391304347826,0.12,0.6297553453009396,0.7650605406540599,0.894969617935041,1.2208511212871593
0.05,0.1617391304347826,0.6282079159066105,0.7638390852072175,0.894760432576297,1.2394718016338158
0.059130434782608696,0.13391304347826086,0.6285729901128937,0.7639171823436495,0.8943190104231875,1.2842544702231058
0.05608695652173913,0.1443478260869565,0.6282744578813598,0.7636981866009015,0.8943143016023869,1.2842758774621101
0.06217391304347826,0.12347826086956522,0.628455170619959,0.7637211112107002,0.8940683132768859,1.3091944641404232
0.05304347826086957,0.1547826086956522,0.6275487278209262,0.7630513861446114,0.8940487222535971,1.3097881116356471
0.05,0.16521739130434782,0.6263946943037723,0.7619692348627823,0.8935176361243908,1.3612507282064432
0.059130434782608696,0.1373913043478261,0.6271159004820486,0.7624156101733954,0.8933102083633109,1.3831308870906844
0.05608695652173913,0.14782608695652175,0.626688474907811,0.7620642207962175,0.8932204841056806,1.3914747768442695
0.06217391304347826,0.12695652173913044,0.6271292787206676,0.7623528700248617,0.8931443206912647,1.3997720582659703
0.05304347826086957,0.1582608695652174,0.6258387759985088,0.7612876234406777,0.8928699947880321,1.425305636209761
0.059130434782608696,0.1408695652173913,0.6256363738098499,0.7608877698326719,0.892279415878294,1.4841765169241796
0.05,0.16869565217391305,0.6245689560444898,0.7600802625791275,0.8922544476938735,1.4850531466155925
0.06217391304347826,0.13043478260869565,0.6257785381167608,0.7609565535007821,0.8921978902646825,1.4925601539667142
0.05608695652173913,0.15130434782608695,0.6250830830948191,0.7604062343762799,0.8921052221458066,1.5007926215046574
0.06521739130434782,0.12,0.6255227283171848,0.7606262592576156,0.8918662379504939,1.52540419577288
0.05304347826086957,0.1617391304347826,0.6241131272275795,0.7595025711867227,0.8916704728280439,1.5428824078398753
0.059130434782608696,0.1443478260869565,0.6241353946410094,0.759334496520277,0.8912269147419664,1.5873646106375865
