tau,omega,sigma_ratio_1e9,sigma_ratio_1e10,sigma_ratio_1e11,score
0.05,0.1443478260869565,0.637041348776408,0.7728636929250674,0.9006564099126436,0.7277177288676333
0.05608695652173913,0.12347826086956522,0.6373225685239632,0.7729470280197006,0.900410313804663,0.728180331235422
0.05304347826086957,0.13391304347826086,0.6374125812639466,0.7731312179261778,0.900666321526433,0.7282712730490545
0.05,0.1408695652173913,0.63875248400432,0.7745961999794966,0.9017696548119061,0.7300849965840145
0.05608695652173913,0.12,0.6387427556189219,0.77438781321852,0.9013458615840488,0.7301412940798614
0.05304347826086957,0.13043478260869565,0.6389796096698785,0.7747182931494018,0.9016905638250166,0.7304371329619513
0.05,0.1373913043478261,0.6404420997466792,0.7763021081628861,0.902860159271985,0.7324234958247071
0.05304347826086957,0.12695652173913044,0.6405215544651764,0.7762762847008142,0.9026915302376176,0.7325691886369377
