omega,epsilon_raw
0.9898648648648648,0.1718120805369127
1.016891891891892,0.1557046979865772
1.0439189189189189,0.1416107382550335
1.0709459459459458,0.1268456375838926
1.0912162162162162,0.1154362416107382
1.1114864864864864,0.1040268456375839
1.1283783783783785,0.0946308724832214
1.179054054054054,0.0892617449664429
1.2533783783783785,0.0825503355704698
1.2871621621621625,0.0791946308724832
1.3243243243243243,0.0731543624161074
1.3614864864864864,0.0657718120805369
1.4087837837837838,0.0577181208053691
1.4527027027027026,0.0496644295302013
1.4932432432432432,0.0389261744966442
1.5304054054054053,0.0288590604026845
1.570945945945946,0.0181208053691275
1.6114864864864864,0.0067114093959731
1.6655405405405406,0.0
1.7128378378378375,0.0
1.7567567567567568,0.0
1.773648648648649,0.0
1.8175675675675675,0.0
1.875,0.0
1.9358108108108107,0.0
1.9966216216216215,0.0
2.043918918918919,0.0046979865771812
2.0945945945945947,0.0120805369127516
2.1790540540540544,0.0093959731543624
2.256756756756757,0.0073825503355704
