omega,omega0,epsilon,label
0.9898648648648648,0.9898648648648648,1.0,BEC ridge A
1.016891891891892,0.9898648648648648,0.9062500000000006,BEC ridge A
1.0439189189189189,0.9898648648648648,0.82421875,BEC ridge A
1.0709459459459458,0.9898648648648648,0.7382812500000002,BEC ridge A
1.0912162162162162,0.9898648648648648,0.671875,BEC ridge A
1.1114864864864864,0.9898648648648648,0.6054687500000002,BEC ridge A
1.1283783783783785,0.9898648648648648,0.5507812499999998,BEC ridge A
1.179054054054054,0.9898648648648648,0.5195312499999999,BEC ridge A
1.2533783783783785,0.9898648648648648,0.48046875000000017,BEC ridge A
1.2871621621621625,0.9898648648648648,0.46093750000000006,BEC ridge A
1.3243243243243243,0.9898648648648648,0.4257812500000003,BEC ridge A
1.3614864864864864,0.9898648648648648,0.38281250000000006,BEC ridge A
1.4087837837837838,0.9898648648648648,0.3359375,BEC ridge A
1.4527027027027026,0.9898648648648648,0.2890624999999999,BEC ridge A
1.4932432432432432,0.9898648648648648,0.22656249999999953,BEC ridge A
1.5304054054054053,0.9898648648648648,0.1679687499999997,BEC ridge A
1.570945945945946,0.9898648648648648,0.10546874999999994,BEC ridge A
1.6114864864864864,0.9898648648648648,0.039062499999999695,BEC ridge A
1.6655405405405406,0.9898648648648648,0.0,BEC ridge A
1.7128378378378375,0.9898648648648648,0.0,BEC ridge A
1.7567567567567568,0.9898648648648648,0.0,BEC ridge A
1.773648648648649,0.9898648648648648,0.0,BEC ridge A
1.8175675675675675,0.9898648648648648,0.0,BEC ridge A
1.875,0.9898648648648648,0.0,BEC ridge A
1.9358108108108107,0.9898648648648648,0.0,BEC ridge A
1.9966216216216215,0.9898648648648648,0.0,BEC ridge A
2.043918918918919,0.9898648648648648,0.027343749999999962,BEC ridge A
2.0945945945945947,0.9898648648648648,0.07031249999999957,BEC ridge A
2.1790540540540544,0.9898648648648648,0.054687499999999924,BEC ridge A
2.256756756756757,0.9898648648648648,0.04296874999999961,BEC ridge A
