survey,redshift_bin,sample_type,logM_bin_cen,dlogM,phi_Mpc3dex,phi_err,param_type,Mstar_logMsun,alpha1,alpha2,phi1_Mpc3dex,phi2_Mpc3dex,completeness_note,reference,arxiv_or_doi,imf,h_assumed,mass_min_logMsun,mass_max_logMsun,rho_star_Msun_per_Mpc3
GAMA (z≈0),0.0-0.1,total,,,,,schechter,10.78,-0.62,-1.5,0.00293,0.00063,Double Schechter; φ in 1e-3 h70^3 Mpc^-3 units; Wright+2017 Table 2 (DCMV),"Wright et al. 2017, MNRAS 470, 283",doi:10.1093/mnras/stx1149,Chabrier,0.7,8.0,12.5,221045916.18722558
COSMOS2015 (UltraVISTA-DR2),3.0-3.5,total,,,,,schechter,10.6,-1.58,,0.000204,,Single Schechter; M* fixed; φ in 1e-3 h70^3 Mpc^-3; Davidzon+2017 Table 2,"Davidzon et al. 2017, A&A",arXiv:1701.02734,Chabrier,0.7,8.0,12.5,15575779.777844504
COSMOS2015 (UltraVISTA-DR2),3.5-4.5,total,,,,,schechter,10.6,-1.65,,9.4e-05,,Single Schechter; M* fixed; φ in 1e-3 h70^3 Mpc^-3; Davidzon+2017 Table 2,"Davidzon et al. 2017, A&A",arXiv:1701.02734,Chabrier,0.7,8.0,12.5,8213660.052530659
COSMOS2015 (UltraVISTA-DR2),4.5-5.5,total,,,,,schechter,10.6,-1.69,,3.8e-05,,Single Schechter; M* fixed; φ in 1e-3 h70^3 Mpc^-3; Davidzon+2017 Table 2,"Davidzon et al. 2017, A&A",arXiv:1701.02734,Chabrier,0.7,8.0,12.5,3610154.710979701
