omega_hat,epsilon
1.0,1.0
1.0244755244755244,0.9343065693430657
1.0524475524475525,0.8467153284671534
1.0804195804195804,0.7700729927007298
1.1083916083916083,0.6897810218978101
1.1293706293706294,0.6277372262773722
1.1503496503496502,0.5656934306569343
1.1678321678321677,0.5145985401459854
1.2202797202797202,0.48540145985401456
1.297202797202797,0.4489051094890511
1.3321678321678323,0.43065693430656937
1.3706293706293706,0.3978102189781022
1.409090909090909,0.35766423357664234
1.458041958041958,0.3138686131386862
1.5034965034965033,0.2700729927007299
1.5454545454545454,0.21167883211678826
1.5839160839160837,0.1569343065693431
1.625874125874126,0.09854014598540149
1.6678321678321677,0.036496350364963445
1.7237762237762237,0.0
1.7727272727272725,0.0
1.8181818181818181,0.0
1.8356643356643356,0.0
1.881118881118881,0.0
1.9405594405594406,0.0
2.0034965034965033,0.0
2.0664335664335667,0.0
2.1153846153846154,0.025547445255474442
2.167832167832168,0.06569343065693432
2.2552447552447554,0.051094890510948884
2.335664335664336,0.04014598540145988
