tau,omega,supp_1e9,supp_1e10,supp_1e11
0.0,0.08,,,
0.0,0.10166666666666667,,,
0.0,0.12333333333333334,,,
0.0,0.14500000000000002,,,
0.0,0.16666666666666669,,,
0.0,0.18833333333333335,,,
0.0,0.21000000000000002,,,
0.0,0.2316666666666667,,,
0.0,0.25333333333333335,,,
0.0,0.275,,,
0.0,0.2966666666666667,,,
0.0,0.31833333333333336,,,
0.0,0.34,,,
0.0,0.3616666666666667,,,
0.0,0.38333333333333336,,,
0.0,0.405,,,
0.0,0.4266666666666667,,,
0.0,0.44833333333333336,,,
0.0,0.47000000000000003,,,
0.0,0.4916666666666667,,,
0.0,0.5133333333333333,,,
0.0,0.535,,,
0.0,0.5566666666666666,,,
0.0,0.5783333333333334,,,
0.0,0.6,,,
0.049999999999999996,0.08,,,
0.049999999999999996,0.10166666666666667,,,
0.049999999999999996,0.12333333333333334,,,
0.049999999999999996,0.14500000000000002,,,
0.049999999999999996,0.16666666666666669,,,
0.049999999999999996,0.18833333333333335,,,
0.049999999999999996,0.21000000000000002,,,
0.049999999999999996,0.2316666666666667,,,
0.049999999999999996,0.25333333333333335,,,
0.049999999999999996,0.275,,,
0.049999999999999996,0.2966666666666667,,,
0.049999999999999996,0.31833333333333336,,,
0.049999999999999996,0.34,,,
0.049999999999999996,0.3616666666666667,,,
0.049999999999999996,0.38333333333333336,,,
0.049999999999999996,0.405,,,
0.049999999999999996,0.4266666666666667,,,
0.049999999999999996,0.44833333333333336,,,
0.049999999999999996,0.47000000000000003,,,
0.049999999999999996,0.4916666666666667,,,
0.049999999999999996,0.5133333333333333,,,
0.049999999999999996,0.535,,,
0.049999999999999996,0.5566666666666666,,,
0.049999999999999996,0.5783333333333334,,,
0.049999999999999996,0.6,,,
0.09999999999999999,0.08,,,
0.09999999999999999,0.10166666666666667,,,
0.09999999999999999,0.12333333333333334,,,
0.09999999999999999,0.14500000000000002,,,
0.09999999999999999,0.16666666666666669,,,
0.09999999999999999,0.18833333333333335,,,
0.09999999999999999,0.21000000000000002,,,
0.09999999999999999,0.2316666666666667,,,
0.09999999999999999,0.25333333333333335,,,
0.09999999999999999,0.275,,,
0.09999999999999999,0.2966666666666667,,,
0.09999999999999999,0.31833333333333336,,,
0.09999999999999999,0.34,,,
0.09999999999999999,0.3616666666666667,,,
0.09999999999999999,0.38333333333333336,,,
0.09999999999999999,0.405,,,
0.09999999999999999,0.4266666666666667,,,
0.09999999999999999,0.44833333333333336,,,
0.09999999999999999,0.47000000000000003,,,
0.09999999999999999,0.4916666666666667,,,
0.09999999999999999,0.5133333333333333,,,
0.09999999999999999,0.535,,,
0.09999999999999999,0.5566666666666666,,,
0.09999999999999999,0.5783333333333334,,,
0.09999999999999999,0.6,,,
0.15,0.08,,,
0.15,0.10166666666666667,,,
0.15,0.12333333333333334,,,
0.15,0.14500000000000002,,,
0.15,0.16666666666666669,,,
0.15,0.18833333333333335,,,
0.15,0.21000000000000002,,,
0.15,0.2316666666666667,,,
0.15,0.25333333333333335,,,
0.15,0.275,,,
0.15,0.2966666666666667,,,
0.15,0.31833333333333336,,,
0.15,0.34,,,
0.15,0.3616666666666667,,,
0.15,0.38333333333333336,,,
0.15,0.405,,,
0.15,0.4266666666666667,,,
0.15,0.44833333333333336,,,
0.15,0.47000000000000003,,,
0.15,0.4916666666666667,,,
0.15,0.5133333333333333,,,
0.15,0.535,,,
0.15,0.5566666666666666,,,
0.15,0.5783333333333334,,,
0.15,0.6,,,
0.19999999999999998,0.08,,,
0.19999999999999998,0.10166666666666667,,,
0.19999999999999998,0.12333333333333334,,,
0.19999999999999998,0.14500000000000002,,,
0.19999999999999998,0.16666666666666669,,,
0.19999999999999998,0.18833333333333335,,,
0.19999999999999998,0.21000000000000002,,,
0.19999999999999998,0.2316666666666667,,,
0.19999999999999998,0.25333333333333335,,,
0.19999999999999998,0.275,,,
0.19999999999999998,0.2966666666666667,,,
0.19999999999999998,0.31833333333333336,,,
0.19999999999999998,0.34,,,
0.19999999999999998,0.3616666666666667,,,
0.19999999999999998,0.38333333333333336,,,
0.19999999999999998,0.405,,,
0.19999999999999998,0.4266666666666667,,,
0.19999999999999998,0.44833333333333336,,,
0.19999999999999998,0.47000000000000003,,,
0.19999999999999998,0.4916666666666667,,,
0.19999999999999998,0.5133333333333333,,,
0.19999999999999998,0.535,,,
0.19999999999999998,0.5566666666666666,,,
0.19999999999999998,0.5783333333333334,,,
0.19999999999999998,0.6,,,
0.24999999999999997,0.08,,,
0.24999999999999997,0.10166666666666667,,,
0.24999999999999997,0.12333333333333334,,,
0.24999999999999997,0.14500000000000002,,,
0.24999999999999997,0.16666666666666669,,,
0.24999999999999997,0.18833333333333335,,,
0.24999999999999997,0.21000000000000002,,,
0.24999999999999997,0.2316666666666667,,,
0.24999999999999997,0.25333333333333335,,,
0.24999999999999997,0.275,,,
0.24999999999999997,0.2966666666666667,,,
0.24999999999999997,0.31833333333333336,,,
0.24999999999999997,0.34,,,
0.24999999999999997,0.3616666666666667,,,
0.24999999999999997,0.38333333333333336,,,
0.24999999999999997,0.405,,,
0.24999999999999997,0.4266666666666667,,,
0.24999999999999997,0.44833333333333336,,,
0.24999999999999997,0.47000000000000003,,,
0.24999999999999997,0.4916666666666667,,,
0.24999999999999997,0.5133333333333333,,,
0.24999999999999997,0.535,,,
0.24999999999999997,0.5566666666666666,,,
0.24999999999999997,0.5783333333333334,,,
0.24999999999999997,0.6,,,
0.3,0.08,,,
0.3,0.10166666666666667,,,
0.3,0.12333333333333334,,,
0.3,0.14500000000000002,,,
0.3,0.16666666666666669,,,
0.3,0.18833333333333335,,,
0.3,0.21000000000000002,,,
0.3,0.2316666666666667,,,
0.3,0.25333333333333335,,,
0.3,0.275,,,
0.3,0.2966666666666667,,,
0.3,0.31833333333333336,,,
0.3,0.34,,,
0.3,0.3616666666666667,,,
0.3,0.38333333333333336,,,
0.3,0.405,,,
0.3,0.4266666666666667,,,
0.3,0.44833333333333336,,,
0.3,0.47000000000000003,,,
0.3,0.4916666666666667,,,
0.3,0.5133333333333333,,,
0.3,0.535,,,
0.3,0.5566666666666666,,,
0.3,0.5783333333333334,,,
0.3,0.6,,,
0.35,0.08,,,
0.35,0.10166666666666667,,,
0.35,0.12333333333333334,,,
0.35,0.14500000000000002,,,
0.35,0.16666666666666669,,,
0.35,0.18833333333333335,,,
0.35,0.21000000000000002,,,
0.35,0.2316666666666667,,,
0.35,0.25333333333333335,,,
0.35,0.275,,,
0.35,0.2966666666666667,,,
0.35,0.31833333333333336,,,
0.35,0.34,,,
0.35,0.3616666666666667,,,
0.35,0.38333333333333336,,,
0.35,0.405,,,
0.35,0.4266666666666667,,,
0.35,0.44833333333333336,,,
0.35,0.47000000000000003,,,
0.35,0.4916666666666667,,,
0.35,0.5133333333333333,,,
0.35,0.535,,,
0.35,0.5566666666666666,,,
0.35,0.5783333333333334,,,
0.35,0.6,,,
0.39999999999999997,0.08,,,
0.39999999999999997,0.10166666666666667,,,
0.39999999999999997,0.12333333333333334,,,
0.39999999999999997,0.14500000000000002,,,
0.39999999999999997,0.16666666666666669,,,
0.39999999999999997,0.18833333333333335,,,
0.39999999999999997,0.21000000000000002,,,
0.39999999999999997,0.2316666666666667,,,
0.39999999999999997,0.25333333333333335,,,
0.39999999999999997,0.275,,,
0.39999999999999997,0.2966666666666667,,,
0.39999999999999997,0.31833333333333336,,,
0.39999999999999997,0.34,,,
0.39999999999999997,0.3616666666666667,,,
0.39999999999999997,0.38333333333333336,,,
0.39999999999999997,0.405,,,
0.39999999999999997,0.4266666666666667,,,
0.39999999999999997,0.44833333333333336,,,
0.39999999999999997,0.47000000000000003,,,
0.39999999999999997,0.4916666666666667,,,
0.39999999999999997,0.5133333333333333,,,
0.39999999999999997,0.535,,,
0.39999999999999997,0.5566666666666666,,,
0.39999999999999997,0.5783333333333334,,,
0.39999999999999997,0.6,,,
0.44999999999999996,0.08,,,
0.44999999999999996,0.10166666666666667,,,
0.44999999999999996,0.12333333333333334,,,
0.44999999999999996,0.14500000000000002,,,
0.44999999999999996,0.16666666666666669,,,
0.44999999999999996,0.18833333333333335,,,
0.44999999999999996,0.21000000000000002,,,
0.44999999999999996,0.2316666666666667,,,
0.44999999999999996,0.25333333333333335,,,
0.44999999999999996,0.275,,,
0.44999999999999996,0.2966666666666667,,,
0.44999999999999996,0.31833333333333336,,,
0.44999999999999996,0.34,,,
0.44999999999999996,0.3616666666666667,,,
0.44999999999999996,0.38333333333333336,,,
0.44999999999999996,0.405,,,
0.44999999999999996,0.4266666666666667,,,
0.44999999999999996,0.44833333333333336,,,
0.44999999999999996,0.47000000000000003,,,
0.44999999999999996,0.4916666666666667,,,
0.44999999999999996,0.5133333333333333,,,
0.44999999999999996,0.535,,,
0.44999999999999996,0.5566666666666666,,,
0.44999999999999996,0.5783333333333334,,,
0.44999999999999996,0.6,,,
0.49999999999999994,0.08,,,
0.49999999999999994,0.10166666666666667,,,
0.49999999999999994,0.12333333333333334,,,
0.49999999999999994,0.14500000000000002,,,
0.49999999999999994,0.16666666666666669,,,
0.49999999999999994,0.18833333333333335,,,
0.49999999999999994,0.21000000000000002,,,
0.49999999999999994,0.2316666666666667,,,
0.49999999999999994,0.25333333333333335,,,
0.49999999999999994,0.275,,,
0.49999999999999994,0.2966666666666667,,,
0.49999999999999994,0.31833333333333336,,,
0.49999999999999994,0.34,,,
0.49999999999999994,0.3616666666666667,,,
0.49999999999999994,0.38333333333333336,,,
0.49999999999999994,0.405,,,
0.49999999999999994,0.4266666666666667,,,
0.49999999999999994,0.44833333333333336,,,
