k_dimless,omega_L_rad_s,freq_L_hz,omega_T_rad_s,freq_T_hz,omega_E_rad_s,omega_T0_rad_s,Cs_param,Ct_param,beta_param,method
0.0,22.0,3.5014087480216975,8.0,1.2732395447351628,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.012319971190548208,22.00034495987086,3.501463650090313,8.00034150151385,1.2732938963891653,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.024639942381096416,22.001379857292534,3.5016283591305655,8.001365918602872,1.273456937432671,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.036959913571644624,22.00310474568396,3.501902883644343,8.003072989021407,1.2737286261279868,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.04927988476219283,22.005519714048773,3.5022872377970136,8.005462276066154,1.2741088929716238,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.06159985595274104,22.008624886933465,3.502781441410767,8.008533169134179,1.2745976407831063,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.07391982714328925,22.012420424368845,3.503385519955298,8.01228488450181,1.2751947448289387,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.08623979833383746,22.016906521794827,3.504099504535835,8.016716466322094,1.2759000529813533,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.09855976952438567,22.02208340996864,3.5049234318785314,8.021826787837867,1.2767133859113773,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.11087974071493387,22.02795135485653,3.5058573443132297,8.027614552806854,1.2776345373156457,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.12319971190548208,22.034510657508967,3.506901289753601,8.034078297134611,1.2786632741762904,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.1355196830960303,22.041761653919565,3.5080553216746893,8.04121639071056,1.279799337053155,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.1478396542865785,22.049704714867715,3.5093194990878676,8.049027039441768,1.2810424404074814,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.1601596254771267,22.05834024574512,3.5106938865132293,8.057508287478646,1.282392272956139,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.17247959666767493,22.06766868636631,3.5121785539494312,8.06665801962617,1.2838484980553841,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.18479956785822313,22.07769051076335,3.513773576841019,8.076473963933834,1.2854107541130637,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.19711953904877133,22.088406226964803,3.51547903604325,8.086953694457067,1.2870786550281073,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.20943951023931953,22.099816376759215,3.5172950177844493,8.098094634182432,1.2888517906560881,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.22175948142986773,22.11192153544319,3.5192216136259162,8.109894058108624,1.2907297272995784,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.23407945262041596,22.124722311554383,3.521258920419425,8.1223490964749,1.2927120082219703,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.24639942381096416,22.13821934658944,3.523407040262339,8.135456738128322,1.2947981541833897,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.25871939500151236,22.152413314707267,3.52566608045038,8.149213834020934,1.296987663997288,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.2710393661920606,22.167304922417724,3.528036153428084,8.16361710082783,1.2992800151062769,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.28335933738260877,22.182894908256042,3.5305173767369853,8.178663124676845,1.3016746641757262,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.295679308573157,22.199184042443182,3.533109872961556,8.194348364980513,1.3041710477036392,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.3079992797637052,22.216173126532397,3.5358137696729584,8.210669158360883,1.3067685826453066,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.3203192509542534,22.233862993042262,3.538629199370639,8.22762172265766,1.3094666670512216,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.3326392221448016,22.252254505076433,3.5415562994218113,8.245202161010218,1.3122646807167537,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.34495919333534986,22.27134855593042,3.5445952119988715,8.263406466004,1.3151619858420667,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.35727916452589803,22.29114606868568,3.547746084014796,8.282230523871915,1.318157927700793,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.36959913571644626,22.311647995791315,3.5510090670565675,8.301670118741432,1.3212518353159808,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.38191910690699443,22.332855318633676,3.554384317316675,8.321720936918211,1.324443022141852,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.39423907809754266,22.354769047094205,3.5578719955227416,8.342378571197258,1.3277307867499468,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.4065590492880909,22.377390219095844,3.5614722668653345,8.363638525192806,1.3311144135182447,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.41887902047863906,22.400719900138306,3.5651853009239995,8.385496217678307,1.3345931733218945,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.4311989916691873,22.424759182822587,3.5690112715915863,8.407946986928192,1.3381663242242292,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.44351896285973547,22.449509186365066,3.572950356996914,8.430986095053314,1.341833112166771,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.4558389340502837,22.47497105610149,3.577002739425828,8.454608732322246,1.3455927716569884,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.4681589052408319,22.501145962981273,3.5811686052407152,8.478810021460948,1.3494445264526091,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.4804788764313801,22.528035103052414,3.5854481447985274,8.503585021923602,1.3533875902413444,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.4927988476219283,22.555639696937472,3.589841552367379,8.528928734127751,1.3574211673149332,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.5051188188124766,22.583960989300873,3.594349026041765,8.554836103647247,1.3615444532364693,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.5174387900030247,22.613000248308037,3.598970767656481,8.581302025356793,1.3657566355000266,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.5297587611935729,22.64275876507662,3.603706982699284,8.608321347522324,1.3700568941816633,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.5420787323841212,22.673237853120344,3.6085578802223757,8.635888875831736,1.374444402580932,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.5543987035746694,22.70443884778569,3.613523672752749,8.663999377360888,1.3789183278520887,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.5667186747652175,22.736363105681974,3.6186045762014833,8.692647584470176,1.3834778316242524,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.5790386459557658,22.769012004105146,3.6238008097720367,8.7218281986273,1.388122070609816,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.591358617146314,22.802386940455676,3.6291125958676007,8.75153589415225,1.3928501972004808,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.6036785883368622,22.836489331650984,3.6345401599975875,8.781765321880899,1.3976613600503345,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.6159985595274104,22.871320613532802,3.640083730683306,8.812511112743882,1.4025547046454478,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.6283185307179586,22.906882240269905,3.645743539362905,8.84376788125789,1.4075293738595311,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.6406385019085068,22.943175683756486,3.6515198202956207,8.875530228926761,1.4125845084952355,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.6529584730990551,22.98020243300679,3.6574128104654307,8.907792747550124,1.417719247810738,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.6652784442896033,23.017963993546243,3.6634227494841483,8.94055002243767,1.4229327300313108,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.6775984154801514,23.056461886799518,3.6695498794940313,8.97379663552744,1.4282240928456116,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.6899183866706997,23.095697649476026,3.675794445069978,9.007527168406812,1.4335924738864874,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.7022383578612479,23.135672832953137,3.6821566931213656,9.041736205235134,1.4390370111961275,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.7145583290517961,23.17638900265759,3.6886368727935976,9.076418335567318,1.444556843675452,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.7268783002423442,23.21784773744546,3.6952352353694233,9.111568157077857,1.450151111517652,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.7391982714328925,23.260050628981112,3.7019520341700933,9.14718027818505,1.455818956625849,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.7515182426234407,23.302999281115525,3.7087875244564197,9.183249320575463,1.4615595230148744,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.7638382138139889,23.346695309264383,3.715741963329793,9.219769921628828,1.4673719571972044,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.7761581850045371,23.3911403397863,3.7228156096332263,9.256736736743859,1.4732554085531258,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.7884781561950853,23.436336009361597,3.7300087238524826,9.294144441565606,1.4792090296852296,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.8007981273856335,23.482283964372026,3.7373215680173564,9.33198773411518,1.4852319767573667,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.8131180985761818,23.52898586028175,3.7447544056031523,9.370261336822855,1.4913234098182286,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
0.82543806976673,23.57644336102004,3.7523075014324383,9.408959998465722,1.4974824931097317,22.0,8.0,10.0,6.0,8.0,isotropic_long_wavelength_reconstruction
