x_m,m_exponent,h_m
0.0,0,0.004
0.0022727272727272726,0,0.004
0.004545454545454545,0,0.004
0.006818181818181818,0,0.004
0.00909090909090909,0,0.004
0.011363636363636364,0,0.004
0.013636363636363636,0,0.004
0.015909090909090907,0,0.004
0.01818181818181818,0,0.004
0.020454545454545454,0,0.004
0.022727272727272728,0,0.004
0.024999999999999998,0,0.004
0.02727272727272727,0,0.004
0.029545454545454545,0,0.004
0.031818181818181815,0,0.004
0.03409090909090909,0,0.004
0.03636363636363636,0,0.004
0.038636363636363635,0,0.004
0.04090909090909091,0,0.004
0.04318181818181818,0,0.004
0.045454545454545456,0,0.004
0.04772727272727272,0,0.004
0.049999999999999996,0,0.004
0.05227272727272727,0,0.004
0.05454545454545454,0,0.004
0.056818181818181816,0,0.004
0.05909090909090909,0,0.004
0.06136363636363636,0,0.004
0.06363636363636363,0,0.004
0.0659090909090909,0,0.004
0.06818181818181818,0,0.004
0.07045454545454545,0,0.004
0.07272727272727272,0,0.004
0.075,0,0.004
0.07727272727272727,0,0.004
0.07954545454545454,0,0.004
0.08181818181818182,0,0.004
0.08409090909090909,0,0.004
0.08636363636363636,0,0.004
0.08863636363636364,0,0.004
0.09090909090909091,0,0.004
0.09318181818181817,0,0.004
0.09545454545454544,0,0.004
0.09772727272727272,0,0.004
0.09999999999999999,0,0.004
0.10227272727272727,0,0.004
0.10454545454545454,0,0.004
0.10681818181818181,0,0.004
0.10909090909090909,0,0.004
0.11136363636363636,0,0.004
0.11363636363636363,0,0.004
0.1159090909090909,0,0.004
0.11818181818181818,0,0.004
0.12045454545454545,0,0.004
0.12272727272727273,0,0.004
0.125,0,0.004
0.12727272727272726,0,0.004
0.12954545454545455,0,0.004
0.1318181818181818,0,0.004
0.1340909090909091,0,0.004
0.13636363636363635,0,0.004
0.13863636363636364,0,0.004
0.1409090909090909,0,0.004
0.1431818181818182,0,0.004
0.14545454545454545,0,0.004
0.1477272727272727,0,0.004
0.15,0,0.004
0.15227272727272725,0,0.004
0.15454545454545454,0,0.004
0.1568181818181818,0,0.004
0.1590909090909091,0,0.004
0.16136363636363635,0,0.004
0.16363636363636364,0,0.004
0.1659090909090909,0,0.004
0.16818181818181818,0,0.004
0.17045454545454544,0,0.004
0.17272727272727273,0,0.004
0.175,0,0.004
0.17727272727272728,0,0.004
0.17954545454545454,0,0.004
0.18181818181818182,0,0.004
0.18409090909090908,0,0.004
0.18636363636363634,0,0.004
0.18863636363636363,0,0.004
0.1909090909090909,0,0.004
0.19318181818181818,0,0.004
0.19545454545454544,0,0.004
0.19772727272727272,0,0.004
0.19999999999999998,0,0.004
0.20227272727272727,0,0.004
0.20454545454545453,0,0.004
