k_hMpc,P_LCDM,P_RES
0.001525760047357916,0.0018441473425898722,0.0018441284531465572
0.0015375255872303623,0.0018572439071106355,0.001857224588998342
0.0015493818542972504,0.001870427317785954,0.0018704075613417506
0.0015613295481800098,0.0018836980371711243,0.0018836778325164638
0.0015733693738950354,0.0018970565280459675,0.0018970358650819495
0.0015855020418952914,0.001910503253360738,0.0019104821217632727
0.001597728268112228,0.0019240386761809139,0.0019240170653957802
0.001610048773998038,0.0019376632596302405,0.0019376411588680397
0.0016224642865682209,0.0019513774668329974,0.0019513548650639991
0.0016349755384444855,0.0019651817608541864,0.0019651586468030628
0.0016475832678979824,0.0019790766046390933,0.001979052966779542
0.0016602882188928615,0.001993062460950644,0.0019930382874998984
0.0016730911411301827,0.002007139792306013,0.002007115071219233
0.0016859927900921467,0.002021309060911211,0.0020212837798757543
0.0016989939270866804,0.002035570728594537,0.002035544875024112
0.0017120953192923522,0.0020499252567383244,0.002049898817767014
0.0017252977398036524,0.002064373106209197,0.002064346068685361
0.0017386019676766066,0.002078914737286813,0.002078887087766858
0.001752008787974749,0.0020935506095910044,0.0020935223343330213
0.001765518991815442,0.0021082811820070492,0.0021082522669643197
0.0017791333764165685,0.0021231069126098063,0.0021230773434241673
0.0017928527451435675,0.0021380282585856795,0.002137998020580752
0.0018066779075568442,0.0021530456761531926,0.0021530147543274663
0.0018206096794595324,0.0021681596204818146,0.002168127999501586
0.0018346488829456462,0.0021833705456088784,0.002183338209801041
0.001848796346448582,0.0021986789043548505,0.0021986458376995355
0.0018630529047900055,0.002214085148236911,0.002214051334359969
0.001877419399229116,0.0022295897273805175,0.0022295551495458464
0.0018918966775122786,0.002245193090429156,0.0022451577315308687
0.0019064855939230614,0.0022608956844524775,0.002260859527006902
0.001921187009332638,0.002276697954852079,0.002276660980989596
0.0019360017912505884,0.002292600345265726,0.0022925625367224327
0.0019509308138760842,0.0023086032974696333,0.0023085646355788347
0.001965974958149483,0.002324707251278446,0.0023246677169619697
0.001981135111804306,0.0023409126444434557,0.002340872218202786
0.001996412169419622,0.0023572199125489316,0.0023571785744561586
0.0020118070324728387,0.0023736294889058858,0.002373587218594467
0.0020273206093928873,0.002390141804444437,0.0023900985810997697
0.0020429538156138427,0.0024067572876034543,0.002406713089953251
0.0020587075736289324,0.0024234763642183832,0.0024234311705228478
0.002074582813044975,0.0024402994574068432,0.0024402532454486465
0.0020905804706372265,0.0024572269874521047,0.002457179734526152
0.002106701490404673,0.0024742593716842094,0.0024742110545871985
0.0021229468236257233,0.002491397024358764,0.0024913476193785286
0.0021393174289143476,0.002508640356533935,0.002508589839438568
0.002155814272276643,0.0025259897759445666,0.0025259381219713225
0.002172438327167829,0.002543445686874348,0.0025433928707183193
0.002189190574549704,0.0025610084900254326,0.002560954485827993
0.002206072002948519,0.002578678582385877,0.0025786233637228894
0.0022230836085133155,0.0025964563570944543,0.002596399896964236
0.0022402263950746983,0.002614342203303326,0.0026142844741143794
0.0022575013742040816,0.0026323365060378166,0.0026322774795962947
0.002274909565273373,0.0026504396460543442,0.002650379293551278
0.002292451995515126,0.0026686519996952027,0.002668590291693461
0.00231012970008316,0.002686973938741242,0.002686910845162228
0.002327943722113632,0.002705405830261835,0.0027053413203719234
0.0023458951127866053,0.002723948036462422,0.002723882078859109
0.0023639849313880686,0.0027426009145291434,0.0027425334771269297
0.0023822142453724477,0.0027613648164712926,0.0027612958664872808
0.0024005841304255864,0.002780240088960629,0.0027801695928998276
0.002419095670528232,0.002799227073168542,0.002799154996808883
0.002437749958019994,0.0028183261046001496,0.0028182524129772013
0.002456548093663801,0.00283753751292585,0.002837462170317227
0.0024754911867108584,0.002856861621810093,0.002856784591719559
0.002494580354966095,0.0028762987487375973,0.002876219993878849
0.002513816724854136,0.002895849204836409,0.00289576868711654
0.0025332014314857626,0.0029155132946985236,0.0029154309752011612
0.0025527356187249,0.0029352913161977854,0.0029352071551658953
0.0025724204392561013,0.0029551835603045164,0.0029550975171228682
0.002592257054652585,0.0029751903108976422,0.0029751023440749307
0.0026122466354447653,0.0029953118445741416,0.002995221911724757
0.002632390361189326,0.0030155484304552134,0.003015456488280657
0.0026526894205388275,0.003035900329989746,0.003035806334259678
0.0026731450113118382,0.003056367796755124,0.0030562717022880478
0.002693758340563629,0.003076951076254753,0.00307685283689832
0.002714530624657395,0.0030976504057131037,0.003097549974324035
0.0027354630893360217,0.003118466013867351,0.003118363342290976
0.002756556969794431,0.0031393981207565895,0.003139293159805983
0.002777813510752457,0.003160446937507778,0.0031603396369424986
0.002799233966528297,0.003181612666118787,0.0031815029746232056
0.0028208196011125335,0.0032028954992389274,0.0032027833644001384
0.002842571688242705,0.003224295619945739,0.0032241809882310552
0.002864491511478486,0.0032458132015196995,0.0032456960182537073
0.002886580364277418,0.0032674484072153973,0.0032673286165565813
0.0029088395500712376,0.0032892013900301153,0.0032890789349470408
0.0029312703823427813,0.00331107229246923,0.003310947114716266
0.0029538741847035077,0.0033330612463088223,0.0033329332864014136
0.0029766522909715916,0.0033551683723555747,0.003355037569545042
0.002999606045250632,0.0033773937802032343,0.0033772600724511063
0.0030227368020089708,0.0033997375679867287,0.003399600891938585
0.0030460459261596054,0.00342219982213299,0.0034220601130918213
0.0030695347931407463,0.0034447806171093148,0.0034446378090083806
0.0030932047889969706,0.003467480015168395,0.0034673340405435857
0.0031170573104610153,0.0034902980660910772,0.00349014885605275
0.0031410937650361835,0.0035132348069257446,0.0035130822911300513
0.003165315571079419,0.0035362902617252882,0.003536134368344963
0.003189724157884989,0.0035594644412813405,0.0035593050969759577
0.0032143209657688257,0.003582757342855455,0.003582594472741142
0.0032391074461535245,0.003606168949907984,0.003606002477526572
0.0032640850616539735,0.0036296992318239924,0.003629529079111615
0.0032892552861636813,0.0036533481436368765,0.003653174230891994
0.003314619604941738,0.0036771156257489057,0.0036769378715997432
0.0033401795147004624,0.003701001603649703,0.0037008199250211132
0.0033659365236937077,0.0037250059876320235,0.003724820299711743
0.003391892151805883,0.003749128672505094,0.0037489388887094006
0.0034180479306416254,0.003773369537305575,0.0037731755692443224
0.00344440540361618,0.0037977284450060353,0.003797530202447075
0.0034709661260464812,0.0038222052422215123,0.0038220026330544805
0.0034977316652429116,0.0038467997589135337,0.003846592689112988
0.003524703600601811,0.0038715118080920163,0.003871300181679938
0.003551883523698662,0.003896341185515042,0.0038961249045226676
0.003579273038381998,0.003921287669387015,0.003921066633816005
0.0036068737608680626,0.003946351020054227,0.00394612512783715
0.003634687319836168,0.00397153097969902,0.00397130012665916
0.003662715356524804,0.003996827272032103,0.003996591351842567
0.003690959524828485,0.004022239601982982,0.004021998506125099
0.0037194214913953477,0.004047767655389007,0.004047521273110014
0.0037481029357254833,0.004073411098682763,0.004073159316952768
0.0037770055502700634,0.004099169578577996,0.004098912282046204
0.0038061310405312,0.004125042721754528,0.004124779792704731
0.0038354811251625712,0.004151030134541561,0.004150761452846866
0.0038650575360708616,0.004177131402600185,0.004176856845676989
0.003894862018517942,0.004203346090604681,0.004203065533365868
0.003924896331223861,0.004229673741923263,0.004229387056730616
0.00395516224647062,0.004256113878297696,0.004255820934913533
0.003985661550206766,0.004282665999522594,0.004282366665060588
0.004016396042152752,0.004309329583124201,0.0043090237219993955
0.004047367535907165,0.004336104084038584,0.004335791557916592
0.004078577859053731,0.004362988934290024,0.004362669602035393
