omega,omega0,epsilon,label
0.9662162162162162,0.9662162162162162,1.0,BEC ridge A (from WPD)
0.9898648648648648,0.9662162162162162,0.9343065693430657,BEC ridge A (from WPD)
1.0168918918918919,0.9662162162162162,0.8467153284671534,BEC ridge A (from WPD)
1.0439189189189189,0.9662162162162162,0.7700729927007298,BEC ridge A (from WPD)
1.0709459459459458,0.9662162162162162,0.6897810218978101,BEC ridge A (from WPD)
1.0912162162162162,0.9662162162162162,0.6277372262773722,BEC ridge A (from WPD)
1.1114864864864864,0.9662162162162162,0.5656934306569343,BEC ridge A (from WPD)
1.1283783783783783,0.9662162162162162,0.5145985401459854,BEC ridge A (from WPD)
1.179054054054054,0.9662162162162162,0.48540145985401456,BEC ridge A (from WPD)
1.2533783783783783,0.9662162162162162,0.4489051094890511,BEC ridge A (from WPD)
1.2871621621621623,0.9662162162162162,0.43065693430656937,BEC ridge A (from WPD)
1.3243243243243243,0.9662162162162162,0.3978102189781022,BEC ridge A (from WPD)
1.3614864864864864,0.9662162162162162,0.35766423357664234,BEC ridge A (from WPD)
1.4087837837837838,0.9662162162162162,0.3138686131386862,BEC ridge A (from WPD)
1.4527027027027026,0.9662162162162162,0.2700729927007299,BEC ridge A (from WPD)
1.4932432432432432,0.9662162162162162,0.21167883211678826,BEC ridge A (from WPD)
1.5304054054054053,0.9662162162162162,0.1569343065693431,BEC ridge A (from WPD)
1.570945945945946,0.9662162162162162,0.09854014598540149,BEC ridge A (from WPD)
1.6114864864864864,0.9662162162162162,0.036496350364963445,BEC ridge A (from WPD)
1.6655405405405406,0.9662162162162162,0.0,BEC ridge A (from WPD)
1.7128378378378377,0.9662162162162162,0.0,BEC ridge A (from WPD)
1.7567567567567568,0.9662162162162162,0.0,BEC ridge A (from WPD)
1.7736486486486487,0.9662162162162162,0.0,BEC ridge A (from WPD)
1.8175675675675675,0.9662162162162162,0.0,BEC ridge A (from WPD)
1.875,0.9662162162162162,0.0,BEC ridge A (from WPD)
1.9358108108108107,0.9662162162162162,0.0,BEC ridge A (from WPD)
1.9966216216216217,0.9662162162162162,0.0,BEC ridge A (from WPD)
2.043918918918919,0.9662162162162162,0.025547445255474442,BEC ridge A (from WPD)
2.0945945945945947,0.9662162162162162,0.06569343065693432,BEC ridge A (from WPD)
2.1790540540540544,0.9662162162162162,0.051094890510948884,BEC ridge A (from WPD)
2.256756756756757,0.9662162162162162,0.04014598540145988,BEC ridge A (from WPD)
