omega_hat,epsilon
1.0,1.0
1.0273037542662118,0.9062500000000006
1.0546075085324231,0.82421875
1.0819112627986347,0.7382812500000002
1.1023890784982937,0.671875
1.1228668941979523,0.6054687500000002
1.1399317406143348,0.5507812499999998
1.1911262798634812,0.5195312499999999
1.2662116040955633,0.48046875000000017
1.3003412969283281,0.46093750000000006
1.3378839590443687,0.4257812500000003
1.3754266211604096,0.38281250000000006
1.42320819112628,0.3359375
1.4675767918088738,0.2890624999999999
1.5085324232081911,0.22656249999999953
1.546075085324232,0.1679687499999997
1.5870307167235498,0.10546874999999994
1.627986348122867,0.039062499999999695
1.6825938566552903,0.0
1.7303754266211602,0.0
1.7747440273037545,0.0
1.791808873720137,0.0
1.8361774744027304,0.0
1.8941979522184302,0.0
1.9556313993174061,0.0
2.0170648464163823,0.0
2.0648464163822524,0.027343749999999962
2.1160409556313997,0.07031249999999957
2.201365187713311,0.054687499999999924
2.2798634812286696,0.04296874999999961
