tag,status,mean_width,A_trapz,A_mask,A_domain,A_trapz_norm,A_mask_norm,c_center,ridge_c,ridge_R2,d_mean,d_std,d_med,d_min,d_q25,d_q75,d_max
p14_edge_shell03_results,ok,0.4053021766749128,0.081020600488,0.134185311906,0.1665999999999999,0.48631813018007236,0.8054340450540222,11.778335,-7.310411,0.6172,0.2116721098761538,0.1278459371421642,0.22642548029743192,-0.07396251110563323,0.15020036288891792,0.3313444822798048,0.3923847163042391
alt_shell_results,ok,0.33314672506767196,0.078240935085,0.085028694358,0.16659999999999991,0.4696334638955585,0.5103763166746702,2.599372,-7.291491,0.6186,0.2536988422168328,0.10628062621796477,0.2880529167640736,-0.05002332381839836,0.15288968595742558,0.3478871291153899,0.4994531353737709
alt2_shell_results,ok,0.426267045271423,0.070144759235,0.154268813497,0.1665999999999999,0.42103697019807956,0.9259832742917173,13.480142,-7.272464,0.6227,0.16747174494494138,0.10186098933592393,0.16197165584651296,-0.0450763416786526,0.1317547944107868,0.25305866297887203,0.32689984302279984
