# Raw capture from Ueda+2014 Table 4 (generated 2025-10-22T08:08:22)
Band,A_a,log10Lstar_erg_s,gamma1,gamma2,p1_star,beta1,z_c1_star,log10La1_erg_s,alpha1,Notes
2-10 keV,2.91,43.97,0.96,2.71,4.78,0.84,1.86,44.61,0.29,1σ errors in paper; verify units for A_a
Bolometric,3.26,45.48,0.89,2.13,5.33,0.46,1.86,46.20,0.29,z_c1_star fixed? See table notes
