z,rho_bh,rho_de,rho_dm,w_proxy
6.0,4.001027310623796e-05,1.0,0.3,-0.9999999999978899
5.9750000000000005,3.988661852054149e-05,1.0000000000000075,0.2999999999999958,-0.9999999999978937
5.95,3.976313000154553e-05,1.000000000000015,0.29999999999999166,-0.9999999999979012
5.925000000000001,3.963982666996601e-05,1.0000000000000226,0.29999999999998755,-0.9999999999979088
5.9,3.951672966944595e-05,1.0000000000000302,0.2999999999999835,-0.9999999999979163
5.875,3.939386235854024e-05,1.0000000000000377,0.29999999999997945,-0.9999999999979543
5.8500000000000005,3.92712505183392e-05,1.000000000000045,0.29999999999997545,-0.9999999999979923
5.825,3.9148922576716206e-05,1.0000000000000524,0.29999999999997146,-0.9999999999979996
5.800000000000001,3.902690985021607e-05,1.0000000000000597,0.2999999999999675,-0.9999999999980069
5.775,3.890524680462799e-05,1.000000000000067,0.2999999999999636,-0.9999999999980442
5.75,3.8783971335312284e-05,1.0000000000000742,0.2999999999999597,-0.9999999999980815
5.7250000000000005,3.866312506837034e-05,1.0000000000000813,0.2999999999999558,-0.9999999999980886
5.7,3.854275368376362e-05,1.0000000000000884,0.29999999999995197,-0.9999999999980957
5.675000000000001,3.842290726149858e-05,1.0000000000000955,0.29999999999994814,-0.9999999999981324
5.65,3.830364065199913e-05,1.0000000000001024,0.29999999999994437,-0.999999999998169
5.625,3.818501387178698e-05,1.0000000000001092,0.2999999999999406,-0.9999999999981759
5.6000000000000005,3.806709252558051e-05,1.0000000000001161,0.2999999999999369,-0.9999999999981828
5.575,3.794994825590558e-05,1.000000000000123,0.29999999999993315,-0.9999999999981897
5.550000000000001,3.7833659221284794e-05,1.00000000000013,0.29999999999992943,-0.9999999999982255
5.525,3.7718310604034484e-05,1.0000000000001366,0.29999999999992577,-0.9999999999982614
5.5,3.760399514865117e-05,1.0000000000001432,0.2999999999999221,-0.999999999998268
5.4750000000000005,3.74908137317086e-05,1.0000000000001499,0.2999999999999185,-0.9999999999982747
5.45,3.7378875964113725e-05,1.0000000000001565,0.2999999999999149,-0.9999999999982814
5.425000000000001,3.726830082648316e-05,1.0000000000001632,0.29999999999991134,-0.9999999999983165
5.4,3.7159217338299147e-05,1.0000000000001696,0.2999999999999078,-0.9999999999983515
5.375,3.7051765261387016e-05,1.000000000000176,0.2999999999999043,-0.999999999998358
5.3500000000000005,3.69460958381208e-05,1.0000000000001825,0.2999999999999008,-0.9999999999983644
5.325,3.684237256461208e-05,1.000000000000189,0.2999999999998973,-0.9999999999983709
5.300000000000001,3.6740771998965646e-05,1.0000000000001954,0.29999999999989385,-0.9999999999984052
5.275,3.6641484604495804e-05,1.0000000000002016,0.2999999999998904,-0.9999999999984395
5.25,3.654471562758661e-05,1.0000000000002078,0.299999999999887,-0.9999999999984457
5.2250000000000005,3.645068600964825e-05,1.000000000000214,0.29999999999988364,-0.9999999999984519
5.2,3.635963333236952e-05,1.0000000000002203,0.29999999999988025,-0.9999999999984581
5.175000000000001,3.6271812795192166e-05,1.0000000000002265,0.2999999999998769,-0.9999999999984643
5.15,3.618749822363658e-05,1.0000000000002327,0.2999999999998736,-0.9999999999984978
5.125,3.610698310679019e-05,1.0000000000002387,0.29999999999987026,-0.9999999999985312
5.1000000000000005,3.603058166192899e-05,1.0000000000002447,0.299999999999867,-0.9999999999985372
5.075,3.595862992388019e-05,1.0000000000002507,0.2999999999998637,-0.9999999999985432
5.050000000000001,3.589148685634955e-05,1.0000000000002567,0.29999999999986043,-0.9999999999985492
5.025,3.582953548203149e-05,1.0000000000002627,0.29999999999985716,-0.9999999999985552
5.0,3.5773184027894565e-05,1.0000000000002687,0.29999999999985394,-0.9999999999985612
4.9750000000000005,3.572286708158977e-05,1.0000000000002747,0.2999999999998507,-0.9999999999985671
4.95,3.567904675446658e-05,1.0000000000002807,0.2999999999998475,-0.9999999999985731
4.925000000000001,3.564221384620254e-05,1.0000000000002867,0.2999999999998443,-0.9999999999985791
4.9,3.561288900555878e-05,1.0000000000002927,0.29999999999984106,-0.9999999999986112
