survey,ell_min,ell_max,A_ISW,sigma_A,z_eff,notes
RACS_SKADS,10,150,0.82,0.36,1.56,Constant-bias (SKADS) model; ℓ≤40 excluded
RACS_BACCUS,10,150,0.94,0.42,1.56,BACCUS-marginalised fit; 2.3σ detection
