z,fs8_pred,fs8_fit,fs8_pred_ocean_tau,fs8_lcdm_repaired,fs8_model_repaired,R_res
1.190071949494186,0.0,0.4511184112730494,0.406112798804785,0.4511184112730494,0.406112798804785,1.1108204730329079
1.1780146093348909,0.0,0.4511184112730494,0.4073990067320694,0.4511184112730494,0.4073990067320694,1.107313478478195
1.1660236503060193,0.0,0.4511184112730494,0.4086766238260031,0.4511184112730494,0.4086766238260031,1.103851761937615
1.154098706949318,0.0,0.4511184112730494,0.4099454071182264,0.4511184112730494,0.4099454071182264,1.1004353346565214
1.1422394158185476,0.0,0.4511184112730494,0.411205111904513,0.4511184112730494,0.411205111904513,1.0970642100816217
1.130445415468404,0.0,0.4511184112730494,0.412455452449708,0.4511184112730494,0.412455452449708,1.0937385082284874
1.1187163464435046,0.0,0.4511184112730494,0.4136961979926868,0.4511184112730494,0.4136961979926868,1.090458199669082
1.107051851267431,0.0,0.4511184112730494,0.414927109975266,0.4511184112730494,0.414927109975266,1.0872232747094803
1.095451574431836,0.0,0.4511184112730494,0.4161479372434829,0.4511184112730494,0.4161479372434829,1.084033755546662
1.083915162385606,0.0,0.4511184112730494,0.4173584272408432,0.4511184112730494,0.4173584272408432,1.0808896665999856
1.0724422635240871,0.0,0.4511184112730494,0.4185582722953187,0.4511184112730494,0.4185582722953187,1.0777911730167824
1.061032528178369,0.0,0.4511184112730494,0.4197472335217422,0.4511184112730494,0.4197472335217422,1.074738259709536
1.049685608604627,0.0,0.4511184112730494,0.4209250805169512,0.4511184112730494,0.4209250805169512,1.0717308902549043
1.0384011589735245,0.0,0.4511184112730494,0.4220915557526392,0.4511184112730494,0.4220915557526392,1.068769097900222
1.0271788353596718,0.0,0.4511184112730494,0.4232464006952135,0.4511184112730494,0.4232464006952135,1.0658529181395378
1.0160182957311448,0.0,0.4511184112730494,0.4243892930965054,0.4511184112730494,0.4243892930965054,1.0629825460051505
1.00491919993906,0.0,0.4511184112730494,0.4255199759352372,0.4511184112730494,0.4255199759352372,1.0601580108702304
0.9938812097072092,0.0,0.4511184112730494,0.4266382356960809,0.4511184112730494,0.4266382356960809,1.0573792349788527
0.982903988621747,0.0,0.4511184112730494,0.4277438106113053,0.4511184112730494,0.4277438106113053,1.0546462627439042
0.9719872021209396,0.0,0.4511184112730494,0.4288364383688086,0.4511184112730494,0.4288364383688086,1.0519591408533195
0.9611305174849664,0.0,0.4511184112730494,0.4299157903101686,0.4511184112730494,0.4299157903101686,1.0493180791233183
0.950333603825782,0.0,0.4511184112730494,0.4309815808225199,0.4511184112730494,0.4309815808225199,1.0467231810976672
0.939596132077028,0.0,0.4511184112730494,0.4320336226278316,0.4511184112730494,0.4320336226278316,1.0441743133998116
0.9289177749840084,0.0,0.4511184112730494,0.433071652172305,0.4511184112730494,0.433071652172305,1.0416715317435836
0.9182982070937092,0.0,0.4511184112730494,0.434095405880037,0.4511184112730494,0.434095405880037,1.0392148941509802
0.907737104744886,0.0,0.4511184112730494,0.435104557575166,0.4511184112730494,0.435104557575166,1.0368046103380955
0.897234146058195,0.0,0.4511184112730494,0.4360987823144872,0.4511184112730494,0.4360987823144872,1.0344408871743445
0.8867890109263845,0.0,0.4511184112730494,0.4370779289062285,0.4511184112730494,0.4370779289062285,1.0321235217755258
0.8764013810045395,0.0,0.4511184112730494,0.4380417347660211,0.4511184112730494,0.4380417347660211,1.029852581316283
0.8660709397003767,0.0,0.4511184112730494,0.438989937866339,0.4511184112730494,0.438989937866339,1.027628135318225
0.8557973721645982,0.0,0.4511184112730494,0.4399222240245597,0.4511184112730494,0.4399222240245597,1.0254503788102887
0.8455803652812937,0.0,0.4511184112730494,0.4408382181306718,0.4511184112730494,0.4408382181306718,1.0233196504286077
0.8354196076583977,0.0,0.4511184112730494,0.4417378152799292,0.4511184112730494,0.4417378152799292,1.021235664388786
0.8253147896182014,0.0,0.4511184112730494,0.4426207568864399,0.4511184112730494,0.4426207568864399,1.0191984995154433
0.8152656031879097,0.0,0.4511184112730494,0.443486785549576,0.4511184112730494,0.443486785549576,1.0172082370256335
0.8052717420902593,0.0,0.4511184112730494,0.4443356090679443,0.4511184112730494,0.4443356090679443,1.015265043059081
0.7953329017341824,0.0,0.4511184112730494,0.4451667914385706,0.4511184112730494,0.4451667914385706,1.013369415573983
0.7854487792055216,0.0,0.4511184112730494,0.4459802844187264,0.4511184112730494,0.4459802844187264,1.0115209730874535
0.7756190732578008,0.0,0.4511184112730494,0.4467758366819374,0.4511184112730494,0.4467758366819374,1.0097198062978583
0.7658434843030424,0.0,0.4511184112730494,0.4475531987550502,0.4511184112730494,0.4475531987550502,1.007966008349212
0.7561217144026358,0.0,0.4511184112730494,0.4483121107119208,0.4511184112730494,0.4483121107119208,1.0062597027697338
0.746453467258259,0.0,0.4511184112730494,0.4490520652669199,0.4511184112730494,0.4490520652669199,1.004601573327363
0.7368384482028456,0.0,0.4511184112730494,0.4497730811833054,0.4511184112730494,0.4497730811833054,1.0029911307413164
0.7272763641916054,0.0,0.4511184112730494,0.4504749178319291,0.4511184112730494,0.4504749178319291,1.0014284778478175
0.7177669237930928,0.0,0.4511184112730494,0.45115733713223,0.4511184112730494,0.45115733713223,0.9999137199908396
0.7083098371803251,0.0,0.4511184112730494,0.4518201036912713,0.4511184112730494,0.4518201036912713,0.9984469650365506
0.6989048161219482,0.0,0.4511184112730494,0.4524626835535146,0.4511184112730494,0.4524626835535146,0.9970289875180255
0.6895515739734526,0.0,0.4511184112730494,0.4530851181447722,0.4511184112730494,0.4530851181447722,0.9956592993392152
0.6802498256684364,0.0,0.4511184112730494,0.4536871992228707,0.4511184112730494,0.4536871992228707,0.9943379756928972
0.6709992877099189,0.0,0.4511184112730494,0.4542687036594105,0.4511184112730494,0.4542687036594105,0.9930651344435935
0.6617996781616973,0.0,0.4511184112730494,0.4548294117217296,0.4511184112730494,0.4548294117217296,0.991840896052363
0.6526507166397575,0.0,0.4511184112730494,0.4553688112566195,0.4511184112730494,0.4553688112566195,0.9906660274518124
0.6435521243037245,0.0,0.4511184112730494,0.4558869184616308,0.4511184112730494,0.4558869184616308,0.9895401534997483
0.6345036238483677,0.0,0.4511184112730494,0.4563835802147732,0.4511184112730494,0.4563835802147732,0.9884632813931518
0.6255049394951473,0.0,0.4511184112730494,0.4568585919126153,0.4511184112730494,0.4568585919126153,0.9874355418915624
0.6165557969838091,0.0,0.4511184112730494,0.4573117530475648,0.4511184112730494,0.4573117530475648,0.9864570684369199
0.6076559235640266,0.0,0.4511184112730494,0.4577425844098819,0.4511184112730494,0.4577425844098819,0.9855286063336836
0.5988050479870877,0.0,0.4511184112730494,0.4581510667052732,0.4511184112730494,0.4581510667052732,0.9846499202047087
0.5900029004976268,0.0,0.4511184112730494,0.4585371118094283,0.4511184112730494,0.4585371118094283,0.9838209376181046
0.5812492128254052,0.0,0.4511184112730494,0.4589005371398684,0.4511184112730494,0.4589005371398684,0.9830418026631181
0.5725437181771325,0.0,0.4511184112730494,0.4592411648834265,0.4511184112730494,0.4592411648834265,0.9823126622099765
0.5638861512283373,5.896129422192662e-08,0.4511184112730494,0.4595585596554886,0.4511184112730494,0.4595585596554886,0.9816342265743753
0.5552762481152793,2.930935331375119e-07,0.4511184112730494,0.4598526569332286,0.4511184112730494,0.4598526569332286,0.9810064255832985
0.5467137464269081,2.814649051492205e-07,0.4511184112730494,0.4601234427971894,0.4511184112730494,0.4601234427971894,0.9804290964411714
0.5381983851968652,2.697778805198325e-07,0.4511184112730494,0.4603707600091809,0.4511184112730494,0.4603707600091809,0.9799023970680784
0.5297299048955306,2.6365893148364264e-07,0.4511184112730494,0.4605944567278374,0.4511184112730494,0.4605944567278374,0.979426488277545
0.5213080474221121,2.592804010440263e-07,0.4511184112730494,0.4607941517525898,0.4511184112730494,0.4607941517525898,0.9790020328106606
0.5129325560967801,2.5564424568285655e-07,0.4511184112730494,0.4609697263452362,0.4511184112730494,0.4609697263452362,0.9786291495749793
0.5046031756528435,2.523920082638863e-07,0.4511184112730494,0.4611212490723285,0.4511184112730494,0.4611212490723285,0.9783075756768908
0.4963196522289708,2.4936815767427544e-07,0.4511184112730494,0.4612485910928091,0.4511184112730494,0.4612485910928091,0.9780374834408516
0.4880817333614513,2.464959770076449e-07,0.4511184112730494,0.4613516295247673,0.4511184112730494,0.4613516295247673,0.9778190482121868
0.4798891679765029,2.437338765243045e-07,0.4511184112730494,0.4614300469246518,0.4511184112730494,0.4614300469246518,0.9776528734521569
0.4717417063826177,2.4105757993078483e-07,0.4511184112730494,0.4614836623152198,0.4511184112730494,0.4614836623152198,0.9775392892780452
0.4636391002629534,2.384520553262593e-07,0.4511184112730494,0.4615126338594562,0.4511184112730494,0.4615126338594562,0.9774779240613983
0.4555811026677643,2.359075274297885e-07,0.4511184112730494,0.4615168638001881,0.4511184112730494,0.4615168638001881,0.9774689651825147
0.4475674680068753,2.334173362123445e-07,0.4511184112730494,0.4614962608182715,0.4511184112730494,0.4614962608182715,0.9775126031859472
0.4395979520421968,2.3097676007932638e-07,0.4511184112730494,0.4614505797616769,0.4511184112730494,0.4614505797616769,0.9776093715301784
0.4316723118802805,1.6776904877035816e-07,0.4511184112730494,0.4613795705494526,0.4511184112730494,0.4613795705494526,0.9777598317494134
0.423790305964917,5.0978101965557954e-08,0.4511184112730494,0.4612834866576996,0.4511184112730494,0.4612834866576996,0.9779634960308188
0.4159516940697729,1.4515866447147726e-10,0.4511184112730494,0.4611622636449401,0.4511184112730494,0.4611622636449401,0.9782205675449115
0.408156237291071,2.3707591213906435e-10,0.4511184112730494,0.4610158438867934,0.4511184112730494,0.4610158438867934,0.9785312527866734
0.4004036980403067,3.282502546651985e-10,0.4511184112730494,0.4608440617878056,0.4511184112730494,0.4608440617878056,0.9788960055663376
0.3926938400370086,4.1946261190973366e-10,0.4511184112730494,0.4606465926283817,0.4511184112730494,0.4606465926283817,0.9793156369594185
0.3850264283015356,5.11455406949726e-10,0.4511184112730494,0.4604237893298027,0.4511184112730494,0.4604237893298027,0.979789536786754
0.377401229147918,6.04947028608526e-10,0.4511184112730494,0.4601756224655202,0.4511184112730494,0.4601756224655202,0.9803179248306457
0.3698180101767314,7.006737994065507e-10,0.4511184112730494,0.4599020696916924,0.4511184112730494,0.4599020696916924,0.9809010243756212
0.362276540268017,7.99422168115363e-10,0.4511184112730494,0.4596030507659882,0.4511184112730494,0.4596030507659882,0.9815392011023469
0.3547765895742361,9.020187751613671e-10,0.4511184112730494,0.4592781622638214,0.4511184112730494,0.4592781622638214,0.9822335315257493
0.3473179295132644,1.0093695940787927e-09,0.4511184112730494,0.4589278589497753,0.4511184112730494,0.4589278589497753,0.9829832782551112
0.3399003327614267,1.122540580526602e-09,0.4511184112730494,0.4585521475165751,0.4511184112730494,0.4585521475165751,0.983788678596785
